TIME,VHM0
2024-01-01 00:02:00,2.83
2024-01-01 00:32:00,2.72
2024-01-01 01:02:00,2.45
2024-01-01 01:32:00,2.38
2024-01-01 02:02:00,2.23
2024-01-01 02:32:00,2.06
2024-01-01 03:02:00,1.83
2024-01-01 03:32:00,1.8
2024-01-01 04:02:00,1.66
2024-01-01 04:32:00,1.62
2024-01-01 05:02:00,1.56
2024-01-01 05:32:00,1.53
2024-01-01 06:02:00,1.54
2024-01-01 06:32:00,1.49
2024-01-01 07:02:00,1.46
2024-01-01 07:32:00,1.4
2024-01-01 08:02:00,1.47
2024-01-01 08:32:00,1.52
2024-01-01 09:02:00,1.64
2024-01-01 09:32:00,1.71
2024-01-01 10:02:00,1.87
2024-01-01 10:32:00,1.98
2024-01-01 11:02:00,2.01
2024-01-01 11:32:00,2.04
2024-01-01 12:02:00,2.18
2024-01-01 12:32:00,2.18
2024-01-01 13:02:00,2.05
2024-01-01 13:32:00,2.25
2024-01-01 14:02:00,2.16
2024-01-01 14:32:00,2.27
2024-01-01 15:02:00,2.27
2024-01-01 15:32:00,2.36
2024-01-01 16:02:00,2.29
2024-01-01 16:32:00,2.27
2024-01-01 17:02:00,2.43
2024-01-01 17:32:00,2.47
2024-01-01 18:02:00,2.27
2024-01-01 18:32:00,2.56
2024-01-01 19:02:00,2.56
2024-01-01 19:32:00,2.5
2024-01-01 20:02:00,2.56
2024-01-01 20:32:00,2.6
2024-01-01 21:02:00,2.73
2024-01-01 21:32:00,2.82
2024-01-01 22:02:00,2.67
2024-01-01 22:32:00,2.52
2024-01-01 23:02:00,2.41
2024-01-01 23:32:00,2.43
2024-01-02 00:02:00,2.4
2024-01-02 00:32:00,2.3
2024-01-02 01:02:00,2.35
2024-01-02 01:32:00,2.34
2024-01-02 02:02:00,1.99
2024-01-02 02:32:00,2.1
2024-01-02 03:02:00,2.03
2024-01-02 03:32:00,2.07
2024-01-02 04:02:00,2.03
2024-01-02 04:32:00,2.15
2024-01-02 05:02:00,2.04
2024-01-02 05:32:00,2.16
2024-01-02 06:02:00,2.15
2024-01-02 06:32:00,2.23
2024-01-02 07:02:00,2.32
2024-01-02 07:32:00,2.39
2024-01-02 08:02:00,2.23
2024-01-02 08:32:00,2.5
2024-01-02 09:02:00,2.33
2024-01-02 09:32:00,2.44
2024-01-02 10:02:00,2.54
2024-01-02 10:32:00,2.32
2024-01-02 11:02:00,2.42
2024-01-02 11:32:00,2.31
2024-01-02 12:02:00,2.12
2024-01-02 12:32:00,2.25
2024-01-02 13:02:00,2.34
2024-01-02 13:32:00,2.16
2024-01-02 14:02:00,2.06
2024-01-02 14:32:00,1.99
2024-01-02 15:02:00,1.86
2024-01-02 15:32:00,1.63
2024-01-02 16:02:00,1.76
2024-01-02 16:32:00,1.65
2024-01-02 17:02:00,1.53
2024-01-02 17:32:00,1.58
2024-01-02 18:02:00,1.54
2024-01-02 18:32:00,1.57
2024-01-02 19:02:00,1.57
2024-01-02 19:32:00,1.67
2024-01-02 20:02:00,1.79
2024-01-02 20:32:00,1.91
2024-01-02 21:02:00,2.01
2024-01-02 21:32:00,1.97
2024-01-02 22:02:00,1.98
2024-01-02 22:32:00,1.99
2024-01-02 23:02:00,2.12
2024-01-02 23:32:00,2.2
2024-01-03 00:02:00,2.2
2024-01-03 00:32:00,2.51
2024-01-03 01:02:00,2.55
2024-01-03 01:32:00,2.44
2024-01-03 02:02:00,2.57
