TIME,VHM0,VTZA,VTPK
2022-01-02 01:30:00,1.35,10.68,7.14
2022-01-02 02:00:00,1.47,4.99,7.14
2022-01-02 02:30:00,1.31,5.05,6.67
2022-01-02 03:00:00,1.33,4.93,7.14
2022-01-02 03:30:00,1.4,5.11,7.14
2022-01-02 04:00:00,1.22,5.39,7.69
2022-01-02 04:30:00,1.23,5.58,7.69
2022-01-02 05:00:00,1.21,5.54,7.69
2022-01-02 05:30:00,1.22,5.99,7.69
2022-01-02 19:00:00,1.15,7.02,6.25
2022-01-03 21:00:00,2.36,6.46,9.09
2022-01-03 21:30:00,2.12,6.13,9.09
2022-01-04 05:30:00,1.84,10.26,8.33
2022-01-04 06:00:00,1.73,8.62,8.33
2022-01-04 06:30:00,1.8,6.21,8.33
2022-01-04 07:30:00,1.81,6.47,8.33
2022-01-05 10:00:00,2.68,6.94,7.14
2022-01-05 10:30:00,2.83,6.2,7.14
2022-01-05 20:00:00,2.44,8.28,10.53
2022-01-05 20:30:00,2.24,8.83,10.53
2022-01-05 21:00:00,2.22,7.36,11.76
2022-01-05 21:30:00,2.16,6.53,7.69
2022-01-05 22:00:00,2.18,6.51,9.09
2022-01-05 22:30:00,2.08,6.8,10.0
2022-01-05 23:00:00,2.22,8.0,9.09
2022-01-06 00:00:00,2.09,7.92,10.53
2022-01-06 00:30:00,2.15,8.08,10.53
2022-01-06 01:30:00,2.21,7.1,11.11
2022-01-06 02:00:00,2.19,7.54,12.5
2022-01-06 02:30:00,2.07,7.35,9.09
2022-01-06 03:00:00,2.07,7.47,10.53
2022-01-06 03:30:00,2.06,6.79,10.0
2022-01-06 04:00:00,2.08,7.07,7.14
2022-01-06 05:00:00,2.0,6.53,9.09
2022-01-06 05:30:00,1.81,6.71,9.09
2022-01-06 06:00:00,1.75,6.64,8.33
2022-01-06 06:30:00,1.78,6.31,8.33
2022-01-06 07:00:00,1.72,6.72,7.14
2022-01-06 07:30:00,1.61,6.3,8.33
2022-01-06 08:00:00,1.61,6.36,7.69
2022-01-06 08:30:00,1.46,6.5,8.33
2022-01-06 09:00:00,1.47,6.85,7.14
2022-01-06 11:30:00,1.37,6.8,6.67
2022-01-06 12:00:00,1.29,6.63,6.25
2022-01-06 12:30:00,1.28,5.43,7.14
2022-01-06 13:00:00,1.3,5.12,5.88
2022-01-06 14:00:00,1.2,6.28,6.25
2022-01-06 15:00:00,1.27,8.41,6.25
2022-01-06 18:00:00,1.09,6.21,5.88
2022-01-06 18:30:00,1.08,5.99,7.69
2022-01-06 19:00:00,1.1,6.96,7.14
2022-01-07 20:00:00,1.64,7.11,18.18
2022-01-07 20:30:00,1.68,5.33,8.33
2022-01-07 21:30:00,1.68,15.77,8.33
2022-01-08 01:00:00,1.81,9.04,8.33
2022-01-09 16:30:00,1.9,8.15,7.69
2022-01-09 17:00:00,1.84,5.8,7.69
2022-01-09 17:30:00,1.87,5.36,7.14
2022-01-09 18:00:00,1.82,5.46,7.69
2022-01-09 18:30:00,1.78,5.84,7.14
2022-01-09 21:30:00,1.57,6.76,7.14
2022-01-09 22:00:00,1.6,5.36,6.67
2022-01-09 22:30:00,1.65,5.23,6.67
2022-01-09 23:00:00,1.59,5.16,7.69
2022-01-09 23:30:00,1.49,5.7,7.69
2022-01-10 00:00:00,1.47,5.9,7.14
2022-01-10 00:30:00,1.39,6.79,18.18
2022-01-10 01:00:00,1.52,7.18,18.18
2022-01-10 02:30:00,1.41,7.9,16.67
2022-01-10 06:00:00,1.11,6.52,18.18
2022-01-10 06:30:00,1.08,4.81,6.67
2022-01-10 07:00:00,1.09,4.23,18.18
2022-01-10 07:30:00,0.98,4.3,18.18
2022-01-10 08:00:00,1.01,4.58,7.14
2022-01-10 08:30:00,1.02,4.55,18.18
2022-01-10 09:00:00,0.94,4.66,16.67
2022-01-10 09:30:00,0.94,4.85,16.67
2022-01-10 10:00:00,0.96,5.98,18.18
2022-01-10 10:30:00,0.98,7.07,16.67
2022-01-10 11:00:00,0.94,8.32,18.18
2022-01-10 17:00:00,0.8,7.58,16.67
2022-01-10 17:30:00,0.76,6.7,15.38
2022-01-10 18:00:00,0.77,6.4,16.67
2022-01-10 18:30:00,0.75,6.26,16.67
2022-01-10 19:00:00,0.74,6.24,16.67
2022-01-10 19:30:00,0.74,5.47,15.38
2022-01-11 08:30:00,1.11,4.85,4.55
2022-01-12 05:00:00,1.05,11.5,18.18
2022-01-12 05:30:00,1.08,5.61,16.67
2022-01-17 21:30:00,2.34,8.99,7.69
2022-01-17 22:00:00,2.12,7.63,8.33
2022-01-17 22:30:00,2.06,8.56,7.69
2022-01-17 23:00:00,2.01,9.14,7.69
2022-01-17 23:30:00,1.95,9.35,9.09
2022-01-20 17:30:00,3.24,8.65,9.09
2022-01-20 18:00:00,3.28,8.19,8.33
2022-01-20 18:30:00,3.2,6.41,8.33
2022-01-20 19:00:00,2.97,6.86,9.09
2022-01-20 19:30:00,3.03,6.34,9.09
2022-01-20 20:00:00,2.69,6.22,9.09
2022-01-20 20:30:00,2.7,6.23,7.69
2022-01-20 21:00:00,2.73,6.22,10.0
2022-01-20 21:30:00,2.84,6.11,9.09
2022-01-20 22:00:00,2.77,6.37,9.09
2022-01-20 22:30:00,2.91,6.46,9.09
2022-01-20 23:00:00,3.12,6.61,9.09
2022-01-20 23:30:00,3.0,6.56,8.33
2022-01-21 00:00:00,3.18,6.76,7.69
2022-01-21 00:30:00,3.13,7.04,8.33
2022-01-21 01:00:00,3.37,7.13,8.33
2022-01-21 01:30:00,3.27,6.81,9.09
2022-01-21 02:00:00,3.37,6.43,9.09
2022-01-21 02:30:00,2.97,6.3,9.09
2022-01-21 03:00:00,3.01,6.35,8.33
2022-01-21 03:30:00,2.98,6.08,9.09
2022-01-21 04:00:00,2.94,6.3,9.09
2022-01-21 04:30:00,2.79,6.27,7.14
2022-01-21 05:00:00,2.77,5.92,8.33
2022-01-21 05:30:00,2.65,6.04,7.69
2022-01-21 06:00:00,2.55,6.06,7.69
2022-01-21 20:00:00,2.05,8.07,7.14
2022-01-21 20:30:00,2.22,7.3,7.14
2022-01-21 21:30:00,2.18,7.28,7.14
2022-01-21 22:00:00,2.15,7.23,7.14
2022-01-21 22:30:00,2.06,6.1,7.14
2022-01-21 23:00:00,2.09,6.08,7.14
2022-01-21 23:30:00,1.99,6.38,6.67
2022-01-22 00:00:00,2.12,6.58,7.14
2022-01-22 00:30:00,1.99,6.29,6.67
2022-01-22 01:00:00,1.99,5.91,6.67
2022-01-22 01:30:00,1.97,6.14,7.14
2022-01-22 02:00:00,1.92,6.6,7.14
2022-01-22 02:30:00,1.85,6.94,7.69
2022-01-22 03:00:00,1.73,6.81,6.67
2022-01-22 03:30:00,1.76,6.54,7.14
2022-01-22 08:30:00,1.81,11.11,6.67
2022-01-22 09:00:00,1.75,6.22,6.67
2022-01-22 09:30:00,1.79,5.89,6.25
2022-01-22 10:30:00,1.67,5.83,6.25
2022-01-22 17:30:00,1.49,5.64,6.25
2022-01-22 18:00:00,1.44,5.12,6.25
2022-01-22 18:30:00,1.5,4.98,7.14
2022-01-22 19:00:00,1.49,5.23,6.67
2022-01-22 19:30:00,1.51,5.65,5.88
2022-01-22 20:00:00,1.36,5.3,6.67
2022-01-22 20:30:00,1.43,5.14,6.67
2022-01-23 02:00:00,1.19,8.34,6.25
2022-01-23 03:30:00,1.1,8.33,7.14
2022-01-23 06:00:00,1.16,7.3,5.88
2022-01-23 06:30:00,1.07,7.12,6.25
2022-01-23 08:30:00,1.07,6.28,6.67
2022-01-23 09:30:00,1.03,5.57,5.88
2022-01-23 10:00:00,1.1,4.85,6.25
2022-01-23 10:30:00,1.05,4.38,6.25
2022-01-23 11:00:00,1.04,4.4,5.26
2022-01-23 11:30:00,1.05,4.48,5.56
2022-01-23 12:00:00,1.07,4.25,5.0
2022-01-23 15:30:00,1.17,6.68,4.35
2022-01-23 16:00:00,1.19,5.08,5.88
2022-01-23 16:30:00,1.13,5.66,15.38
2022-01-23 17:00:00,1.23,5.64,15.38
2022-01-23 17:30:00,1.18,5.86,5.26
2022-01-23 18:00:00,1.21,6.08,15.38
2022-01-23 19:00:00,1.14,8.91,5.0
2022-01-23 19:30:00,1.24,8.53,5.56
2022-01-23 20:00:00,1.13,7.66,5.0
2022-01-23 20:30:00,1.09,5.73,5.26
2022-01-23 21:00:00,1.04,5.27,15.38
2022-01-23 21:30:00,1.02,5.16,5.56
2022-01-23 22:00:00,1.07,4.88,15.38
2022-01-23 22:30:00,1.03,5.3,4.76
2022-01-24 00:00:00,1.08,8.26,14.29
2022-01-24 00:30:00,1.14,6.16,13.33
2022-01-25 10:30:00,1.15,7.51,5.56
2022-01-25 12:30:00,1.08,6.41,5.0
2022-01-25 13:00:00,1.08,4.85,5.88
2022-01-25 13:30:00,1.11,4.9,5.88
2022-01-25 14:00:00,1.09,5.83,6.25
2022-01-25 15:30:00,1.04,8.34,5.26
2022-01-28 11:00:00,2.3,10.24,8.33
2022-01-28 11:30:00,2.23,8.17,6.67
2022-01-28 12:00:00,2.19,7.08,7.69
2022-01-28 12:30:00,1.98,8.41,8.33
2022-01-28 13:00:00,1.85,8.3,8.33
2022-01-28 13:30:00,1.85,8.39,7.14
2022-01-28 14:00:00,1.76,7.93,7.14
2022-01-28 14:30:00,1.8,7.87,6.25
2022-01-29 06:30:00,2.25,14.88,7.69
2022-01-30 20:00:00,2.3,8.19,7.69
2022-01-30 20:30:00,2.36,7.14,14.29
2022-01-30 21:00:00,2.07,7.85,7.69
2022-01-30 22:00:00,2.07,9.09,6.67
2022-01-31 02:30:00,1.42,7.97,13.33
2022-01-31 03:00:00,1.33,6.92,6.67
2022-01-31 03:30:00,1.29,6.17,5.88
2022-01-31 04:00:00,1.34,6.3,5.56
2022-01-31 05:00:00,1.27,5.43,5.56
2022-01-31 05:30:00,1.36,5.02,5.56
2022-01-31 06:00:00,1.22,5.11,5.56
2022-01-31 06:30:00,1.27,5.84,5.88
2022-01-31 07:00:00,1.25,5.66,6.25
2022-01-31 07:30:00,1.19,5.85,5.88
2022-01-31 08:00:00,1.17,5.61,6.25
2022-01-31 08:30:00,1.13,5.53,5.88
2022-01-31 09:00:00,1.12,5.62,6.25
2022-01-31 09:30:00,1.23,6.09,6.25
2022-01-31 10:00:00,1.26,6.15,7.14
2022-01-31 10:30:00,1.3,6.06,7.14
2022-01-31 11:00:00,1.32,6.1,6.67
2022-01-31 11:30:00,1.26,5.84,7.14
2022-01-31 12:00:00,1.3,5.85,7.69
2022-01-31 12:30:00,1.31,6.33,7.69
2022-01-31 13:00:00,1.34,6.39,7.69
2022-01-31 13:30:00,1.44,6.72,8.33
2022-01-31 14:00:00,1.5,6.78,8.33
2022-01-31 14:30:00,1.44,6.76,8.33
2022-01-31 15:00:00,1.56,6.56,9.09
2022-01-31 15:30:00,1.5,7.13,8.33
2022-01-31 16:00:00,1.55,6.91,11.11
2022-01-31 16:30:00,1.6,7.37,11.76
2022-01-31 17:00:00,1.63,6.93,11.11
2022-01-31 17:30:00,1.54,7.84,11.76
2022-01-31 18:00:00,1.51,7.51,10.53
2022-01-31 18:30:00,1.51,7.52,10.53
2022-01-31 19:00:00,1.52,7.64,10.53
2022-01-31 22:00:00,2.64,8.96,10.53
2022-01-31 22:30:00,2.66,6.64,11.11
2022-02-01 00:30:00,2.84,9.12,10.0
2022-02-01 01:00:00,2.8,11.63,10.0
2022-02-01 01:30:00,2.81,8.9,11.11
2022-02-01 02:00:00,2.59,7.81,10.53
2022-02-01 02:30:00,2.39,7.41,10.0
2022-02-01 03:00:00,2.37,7.4,10.0
2022-02-01 03:30:00,2.42,6.43,10.0
2022-02-01 04:00:00,2.28,6.8,10.0
2022-02-01 04:30:00,2.28,6.72,10.53
