TIME,VHM0,VTZA,VMDR,VTPK
2022-01-01 00:00:00.000000000,1.24,4.8,255.0,6.25
2022-01-01 00:10:00.000000000,1.23,4.9,251.0,6.25
2022-01-01 00:20:00.000000256,1.26,4.9,253.0,5.8824
2022-01-01 00:30:00.000000000,1.28,4.7,253.0,5.2632
2022-01-01 00:40:00.000000000,1.29,4.7,254.0,5.2632
2022-01-01 00:50:00.000000000,1.32,4.8,251.0,5.5556
2022-01-01 01:00:00.000000000,1.35,4.8,244.0,5.5556
2022-01-01 01:09:59.999999744,1.37,4.6,240.0,5.8824
2022-01-01 01:20:00.000000000,1.37,4.5,242.0,5.5556
2022-01-01 01:30:00.000000000,1.27,4.3,243.0,5.5556
2022-01-01 01:40:00.000000000,1.19,4.2,242.0,5.0
2022-01-01 01:50:00.000000256,1.26,4.5,237.0,5.2632
2022-01-01 02:00:00.000000000,1.29,4.6,233.0,5.2632
2022-01-01 02:10:00.000000000,1.27,4.6,234.0,5.0
2022-01-01 02:20:00.000000000,1.29,4.6,232.0,5.5556
2022-01-01 02:30:00.000000000,1.31,4.5,227.0,4.7619
2022-01-01 02:39:59.999999744,1.3,4.5,224.0,5.8824
2022-01-01 02:50:00.000000000,1.34,4.3,220.0,5.2632
2022-01-01 03:00:00.000000000,1.36,4.4,220.0,5.5556
2022-01-01 03:10:00.000000000,1.39,4.4,224.0,5.5556
2022-01-01 03:20:00.000000256,1.37,4.3,229.0,5.5556
2022-01-01 03:30:00.000000000,1.28,4.3,229.0,5.5556
2022-01-01 03:40:00.000000000,1.28,4.3,227.0,5.5556
2022-01-01 03:50:00.000000000,1.27,4.4,228.0,5.5556
2022-01-01 04:00:00.000000000,1.2,4.5,231.0,5.5556
2022-01-01 04:09:59.999999744,1.22,4.2,238.0,5.5556
2022-01-01 04:20:00.000000000,1.25,4.3,236.0,5.8824
2022-01-01 04:30:00.000000000,1.2,4.4,238.0,5.8824
2022-01-01 04:40:00.000000000,1.18,4.4,243.0,5.5556
2022-01-01 04:50:00.000000256,1.18,4.3,241.0,5.5556
2022-01-01 05:00:00.000000000,1.17,4.3,243.0,5.8824
2022-01-01 05:10:00.000000000,1.14,4.2,244.0,5.5556
2022-01-01 05:20:00.000000000,1.1,4.3,248.0,5.5556
2022-01-01 05:30:00.000000000,1.08,4.5,255.0,4.5455
2022-01-01 05:39:59.999999744,1.1,4.5,253.0,4.5455
2022-01-01 05:50:00.000000000,1.1,4.4,252.0,5.2632
2022-01-01 06:00:00.000000000,1.1,4.5,251.0,5.8824
2022-01-01 06:10:00.000000000,1.14,4.7,255.0,6.25
2022-01-01 06:20:00.000000256,1.15,4.5,255.0,11.1111
2022-01-01 06:30:00.000000000,1.11,4.5,260.0,12.5
2022-01-01 06:40:00.000000000,1.06,4.6,261.0,12.5
2022-01-01 06:50:00.000000000,1.04,4.5,252.0,6.25
2022-01-01 07:00:00.000000000,1.09,4.6,266.0,12.5
2022-01-01 07:09:59.999999744,1.08,4.6,270.0,12.5
2022-01-01 07:20:00.000000000,1.09,4.6,258.0,5.8824
2022-01-01 07:30:00.000000000,1.13,4.5,254.0,11.1111
2022-01-01 07:40:00.000000000,1.11,4.4,253.0,11.1111
2022-01-01 07:50:00.000000256,1.13,4.4,249.0,5.8824
2022-01-01 08:00:00.000000000,1.17,4.4,248.0,11.1111
2022-01-01 08:10:00.000000000,1.2,4.5,244.0,4.1667
2022-01-01 08:20:00.000000000,1.19,4.5,241.0,4.1667
2022-01-01 08:30:00.000000000,1.22,4.5,239.0,4.5455
2022-01-01 08:39:59.999999744,1.3,4.5,239.0,4.3478
2022-01-01 08:50:00.000000000,1.35,4.7,242.0,6.25
2022-01-01 09:00:00.000000000,1.32,4.6,243.0,5.2632
2022-01-01 09:10:00.000000000,1.29,4.8,242.0,5.2632
2022-01-01 09:20:00.000000256,1.25,4.9,241.0,5.2632
2022-01-01 09:30:00.000000000,1.28,4.9,241.0,5.0
2022-01-01 09:40:00.000000000,1.35,4.8,240.0,5.0
2022-01-01 09:50:00.000000000,1.44,4.7,237.0,6.25
2022-01-01 10:00:00.000000000,1.43,4.7,236.0,5.5556
2022-01-01 10:09:59.999999744,1.39,4.8,238.0,5.8824
2022-01-01 10:20:00.000000000,1.46,5.0,238.0,5.8824
2022-01-01 10:30:00.000000000,1.46,4.8,236.0,6.25
2022-01-01 10:40:00.000000000,1.44,4.7,234.0,6.25
2022-01-01 10:50:00.000000256,1.43,4.7,234.0,5.5556
