TIME,VHM0,VTZA
2022-01-01 00:00:00,0.16,3.17
2022-01-01 00:30:00,0.14,3.22
2022-01-01 01:00:00,0.11,3.54
2022-01-01 01:30:00,0.11,3.58
2022-01-01 02:00:00,0.09,3.6
2022-01-01 02:30:00,0.08,3.55
2022-01-01 03:00:00,0.09,3.37
2022-01-01 03:30:00,0.08,3.49
2022-01-01 04:00:00,0.06,3.51
2022-01-01 04:30:00,0.07,3.32
2022-01-01 05:00:00,0.08,3.15
2022-01-01 05:30:00,0.08,2.99
2022-01-01 06:00:00,0.11,2.79
2022-01-01 06:30:00,0.07,3.01
2022-01-01 07:00:00,0.06,3.17
2022-01-01 07:30:00,0.06,3.29
2022-01-01 08:00:00,0.06,3.0
2022-01-01 08:30:00,0.06,2.83
2022-01-01 09:00:00,0.08,3.04
2022-01-01 09:30:00,0.14,2.55
2022-01-01 10:00:00,0.25,3.18
2022-01-01 10:30:00,0.24,3.31
2022-01-01 11:00:00,0.15,3.35
2022-01-01 11:30:00,0.13,3.22
2022-01-01 12:00:00,0.1,3.0
2022-01-01 12:30:00,0.11,2.49
2022-01-01 13:00:00,0.09,2.9
2022-01-01 13:30:00,0.08,2.62
2022-01-01 14:00:00,0.07,2.67
2022-01-01 14:30:00,0.08,3.08
2022-01-01 15:00:00,0.07,2.71
2022-01-01 15:30:00,0.08,2.99
2022-01-01 16:00:00,0.06,2.93
2022-01-01 16:30:00,0.06,3.26
2022-01-01 17:00:00,0.06,3.15
2022-01-01 17:30:00,0.07,3.18
2022-01-01 18:00:00,0.08,2.86
2022-01-01 18:30:00,0.06,2.88
2022-01-01 19:00:00,0.07,2.97
2022-01-01 19:30:00,0.06,3.07
2022-01-01 20:00:00,0.06,3.14
2022-01-01 20:30:00,0.05,3.25
2022-01-01 21:00:00,0.06,3.2
2022-01-01 21:30:00,0.1,3.31
2022-01-01 22:00:00,0.16,3.42
2022-01-01 22:30:00,0.34,3.25
2022-01-01 23:00:00,0.35,3.12
2022-01-01 23:30:00,0.27,3.0
2022-01-02 00:00:00,0.13,2.89
2022-01-02 00:30:00,0.13,2.9
2022-01-02 01:00:00,0.12,2.91
2022-01-02 01:30:00,0.09,3.11
2022-01-02 02:00:00,0.09,3.06
2022-01-02 02:30:00,0.08,3.05
2022-01-02 03:00:00,0.1,2.98
2022-01-02 03:30:00,0.07,3.0
2022-01-02 04:00:00,0.1,3.08
2022-01-02 04:30:00,0.09,3.28
2022-01-02 05:00:00,0.06,3.38
2022-01-02 05:30:00,0.07,3.12
2022-01-02 06:00:00,0.08,3.05
2022-01-02 06:30:00,0.09,2.59
2022-01-02 07:00:00,0.1,2.86
2022-01-02 07:30:00,0.05,2.96
2022-01-02 08:00:00,0.06,3.07
2022-01-02 08:30:00,0.07,3.43
2022-01-02 09:00:00,0.08,3.57
2022-01-02 09:30:00,0.08,3.56
2022-01-02 10:00:00,0.19,3.56
2022-01-02 10:30:00,0.39,3.72
2022-01-02 11:00:00,0.47,3.55
2022-01-02 11:30:00,0.44,3.54
2022-01-02 12:00:00,0.33,3.35
2022-01-02 12:30:00,0.27,3.75
2022-01-02 13:00:00,0.21,3.32
2022-01-02 13:30:00,0.21,3.29
2022-01-02 14:00:00,0.25,3.6
2022-01-02 14:30:00,0.16,3.31
2022-01-02 15:00:00,0.14,3.42
2022-01-02 15:30:00,0.13,3.42
2022-01-02 16:00:00,0.16,3.22
2022-01-02 16:30:00,0.14,3.29
2022-01-02 17:00:00,0.12,3.34
2022-01-02 17:30:00,0.11,3.35
2022-01-02 18:00:00,0.09,3.45
2022-01-02 18:30:00,0.11,3.31
2022-01-02 19:00:00,0.12,3.39
2022-01-02 19:30:00,0.14,3.29
2022-01-02 20:00:00,0.18,3.58
2022-01-02 20:30:00,0.21,3.19
2022-01-02 21:00:00,0.19,3.02
2022-01-02 21:30:00,0.18,3.36
2022-01-02 22:00:00,0.21,3.35
2022-01-02 22:30:00,0.34,3.72
2022-01-02 23:00:00,0.42,3.4
2022-01-02 23:30:00,0.51,3.47
2022-01-03 00:00:00,0.66,3.81
2022-01-03 00:30:00,0.38,3.58
2022-01-03 01:00:00,0.27,3.71
2022-01-03 01:30:00,0.23,3.73
2022-01-03 02:00:00,0.22,3.7
2022-01-03 02:30:00,0.18,3.75
2022-01-03 03:00:00,0.18,3.71
2022-01-03 03:30:00,0.16,3.7
2022-01-03 04:00:00,0.17,3.67
2022-01-03 04:30:00,0.16,3.49
2022-01-03 05:00:00,0.14,3.89
2022-01-03 05:30:00,0.14,3.35
2022-01-03 06:00:00,0.16,3.34
2022-01-03 06:30:00,0.13,3.58
2022-01-03 07:00:00,0.11,3.61
2022-01-03 07:30:00,0.12,3.58
2022-01-03 08:00:00,0.12,3.85
2022-01-03 08:30:00,0.11,3.58
2022-01-03 09:00:00,0.12,3.45
2022-01-03 09:30:00,0.13,3.49
2022-01-03 10:00:00,0.15,3.61
2022-01-03 10:30:00,0.15,3.53
2022-01-03 11:00:00,0.24,3.91
2022-01-03 11:30:00,0.47,4.07
2022-01-03 12:00:00,0.57,3.73
2022-01-03 12:30:00,0.52,3.81
2022-01-03 13:00:00,0.37,3.8
2022-01-03 13:30:00,0.22,3.46
2022-01-03 14:00:00,0.17,3.25
2022-01-03 14:30:00,0.2,3.29
2022-01-03 15:00:00,0.15,3.27
2022-01-03 15:30:00,0.13,3.34
