datetime,longitude,latitude,significant_wave_height
2022-01-01 10:56:44,-1.451856,55.436785,1.675
2022-01-01 20:43:17,7.329967,53.819037,0.722
2022-01-01 20:43:18,7.300312,53.876506,0.995
2022-01-01 20:43:19,7.270587,53.93397,1.105
2022-01-01 20:43:20,7.240792,53.991428,1.129
2022-01-01 20:43:21,7.210926,54.04888,1.159
2022-01-01 20:43:22,7.18099,54.106325,1.29
2022-01-01 20:43:23,7.150982,54.163765,1.335
2022-01-01 20:43:24,7.120902,54.221198,1.455
2022-01-01 20:43:25,7.090751,54.278626,1.43
2022-01-01 20:43:26,7.060527,54.336047,1.387
2022-01-01 20:43:27,7.030231,54.393461,1.553
2022-01-01 20:43:28,6.999862,54.45087,1.706
2022-01-01 20:43:29,6.96942,54.508272,1.632
2022-01-01 20:43:30,6.938904,54.565668,1.671
2022-01-01 20:43:31,6.908313,54.623058,1.766
2022-01-01 20:43:32,6.877649,54.680441,1.706
2022-01-01 20:43:33,6.84691,54.737818,1.712
2022-01-01 20:43:34,6.816095,54.795188,1.73
2022-01-01 20:43:35,6.785206,54.852552,1.899
2022-01-01 20:43:36,6.75424,54.90991,1.693
2022-01-01 20:43:37,6.723198,54.967261,1.779
2022-01-01 20:43:38,6.69208,55.024605,2.037
2022-01-01 20:43:39,6.660884,55.081943,1.983
2022-01-01 20:43:40,6.629612,55.139274,1.956
2022-01-01 20:43:41,6.598261,55.196599,2.07
2022-01-01 20:43:42,6.566833,55.253917,2.177
2022-01-01 20:43:43,6.535326,55.311229,1.956
2022-01-01 20:43:44,6.50374,55.368533,1.905
2022-01-01 20:43:45,6.472075,55.425831,2.083
2022-01-01 20:43:46,6.44033,55.483122,2.06
2022-01-01 20:43:47,6.408506,55.540407,2.09
2022-01-01 20:43:48,6.376601,55.597684,1.891
2022-01-01 20:43:49,6.344615,55.654955,2.046
2022-01-01 20:43:50,6.312548,55.712218,1.814
2022-01-01 20:43:51,6.280399,55.769475,1.903
2022-01-01 20:43:52,6.248168,55.826725,1.952
2022-01-01 20:43:53,6.215855,55.883968,2.102
2022-01-01 20:43:54,6.183459,55.941204,1.902
2022-01-01 20:43:55,6.150979,55.998433,1.923
2022-01-01 20:43:56,6.118416,56.055654,1.975
2022-01-01 20:43:57,6.085769,56.112869,2.082
2022-01-02 10:30:19,5.550438,56.247512,1.624
2022-01-02 10:30:20,5.517592,56.190317,1.819
2022-01-02 10:30:21,5.484831,56.133115,1.731
2022-01-02 10:30:22,5.452154,56.075906,1.516
2022-01-02 10:30:23,5.419562,56.018689,1.223
2022-01-02 10:30:24,5.387054,55.961466,1.535
2022-01-02 10:30:25,5.354629,55.904235,1.536
2022-01-02 10:30:26,5.322287,55.846998,1.388
2022-01-02 10:30:27,5.290028,55.789753,1.414
2022-01-02 10:30:28,5.257851,55.732502,1.371
2022-01-02 10:30:29,5.225755,55.675243,1.264
2022-01-02 10:30:30,5.193741,55.617978,1.457
2022-01-02 10:30:31,5.161808,55.560706,1.199
2022-01-02 10:30:32,5.129956,55.503427,1.281
2022-01-02 10:30:33,5.098183,55.446141,1.337
2022-01-02 10:30:34,5.066491,55.388848,1.152
2022-01-02 10:30:35,5.034878,55.331549,1.168
2022-01-02 10:30:36,5.003343,55.274242,1.263
2022-01-02 10:30:37,4.971888,55.21693,1.059
2022-01-02 10:30:38,4.94051,55.15961,1.366
2022-01-02 10:30:39,4.909211,55.102284,1.237
2022-01-02 10:30:40,4.877988,55.044951,1.382
2022-01-02 10:30:41,4.846843,54.987612,1.213
2022-01-02 10:30:42,4.815775,54.930266,1.388
2022-01-02 10:30:43,4.784783,54.872914,1.079
2022-01-02 10:30:44,4.753867,54.815555,1.333
2022-01-02 10:30:45,4.723026,54.75819,1.177
2022-01-02 10:30:46,4.692261,54.700818,0.942
2022-01-02 10:30:47,4.661571,54.64344,0.998
2022-01-02 10:30:48,4.630955,54.586055,1.245
2022-01-02 10:30:49,4.600413,54.528665,1.324
2022-01-02 10:30:50,4.569945,54.471267,1.207
2022-01-02 10:30:51,4.53955,54.413864,1.299
2022-01-02 10:30:52,4.509229,54.356454,1.426
2022-01-02 10:30:53,4.47898,54.299038,1.51
