datetime,longitude,latitude,significant_wave_height
2022-01-01 10:17:24,8.276975,55.301956,0.911
2022-01-01 10:17:25,8.245504,55.244642,1.019
2022-01-01 10:17:26,8.214112,55.187321,1.057
2022-01-01 10:17:27,8.182798,55.129993,1.08
2022-01-01 10:17:28,8.151561,55.072659,1.046
2022-01-01 10:17:29,8.120402,55.015319,1.039
2022-01-01 10:17:30,8.08932,54.957971,1.156
2022-01-01 10:17:31,8.058314,54.900618,1.142
2022-01-01 10:17:32,8.027384,54.843257,1.219
2022-01-01 10:17:33,7.996529,54.785891,1.135
2022-01-01 10:17:34,7.96575,54.728518,1.008
2022-01-01 10:17:35,7.935046,54.671138,1.012
2022-01-01 10:17:36,7.904417,54.613752,0.987
2022-01-01 10:17:37,7.873862,54.55636,1.145
2022-01-01 10:17:38,7.843381,54.498961,1.016
2022-01-01 10:17:39,7.812973,54.441557,1.016
2022-01-01 10:17:40,7.782639,54.384146,1.062
2022-01-01 10:17:41,7.752377,54.326728,1.227
2022-01-01 10:17:42,7.722188,54.269305,1.069
2022-01-01 10:17:43,7.692071,54.211875,1.056
2022-01-01 10:17:44,7.662026,54.154439,0.855
2022-01-01 10:17:45,7.632052,54.096997,0.93
2022-01-01 10:17:46,7.602149,54.039549,1.114
2022-01-01 10:17:47,7.572317,53.982095,1.101
2022-01-01 10:17:48,7.542556,53.924635,0.897
2022-01-01 10:17:49,7.512865,53.867168,0.619
2022-01-02 21:17:34,0.339962,49.860646,2.282
2022-01-02 21:17:35,0.314427,49.918481,2.445
2022-01-02 21:17:36,0.288841,49.976311,2.741
2022-01-02 21:17:37,0.263204,50.034137,2.778
2022-01-02 21:17:38,0.237515,50.091958,2.978
2022-01-02 21:17:39,0.211774,50.149775,3.027
2022-01-02 21:17:40,0.185982,50.207587,3.079
2022-01-02 21:17:41,0.160137,50.265395,3.255
2022-01-02 21:17:42,0.13424,50.323197,3.124
2022-01-02 21:17:43,0.10829,50.380996,3.275
2022-01-02 21:17:44,0.082287,50.438789,3.153
2022-01-02 21:17:45,0.056231,50.496578,3.165
2022-01-02 21:17:46,0.030122,50.554362,2.92
2022-01-02 21:17:47,0.003959,50.612141,2.786
2022-01-02 21:17:48,-0.022258,50.669915,2.479
2022-01-02 21:17:49,-0.048529,50.727685,2.211
2022-01-03 20:52:26,5.166889,53.497668,2.041
2022-01-03 20:52:27,5.137643,53.555178,2.096
2022-01-03 20:52:28,5.108329,53.612681,2.225
2022-01-03 20:52:29,5.078946,53.670179,2.449
2022-01-03 20:52:30,5.049495,53.727671,2.673
2022-01-03 20:52:31,5.019975,53.785157,2.646
2022-01-03 20:52:32,4.990385,53.842636,2.599
2022-01-03 20:52:33,4.960726,53.90011,2.779
2022-01-03 20:52:34,4.930997,53.957578,2.728
2022-01-03 20:52:35,4.901197,54.01504,2.776
2022-01-03 20:52:36,4.871327,54.072496,2.866
2022-01-03 20:52:37,4.841386,54.129945,3.054
2022-01-03 20:52:38,4.811374,54.187389,3.054
2022-01-03 20:52:39,4.78129,54.244826,2.967
2022-01-03 20:52:40,4.751134,54.302258,3.121
2022-01-03 20:52:41,4.720906,54.359683,3.136
2022-01-03 20:52:42,4.690605,54.417101,3.086
2022-01-03 20:52:43,4.660231,54.474514,3.127
2022-01-03 20:52:44,4.629783,54.53192,3.22
2022-01-03 20:52:45,4.599262,54.58932,3.361
2022-01-03 20:52:46,4.568667,54.646714,3.221
2022-01-03 20:52:47,4.537997,54.704101,2.903
2022-01-03 20:52:48,4.507253,54.761482,3.021
2022-01-03 20:52:49,4.476433,54.818856,2.909
2022-01-03 20:52:50,4.445537,54.876224,3.004
2022-01-03 20:52:51,4.414566,54.933586,2.769
2022-01-03 20:52:52,4.383519,54.990941,2.714
2022-01-03 20:52:53,4.352395,55.048289,2.686
2022-01-03 20:52:54,4.321193,55.105631,2.983
2022-01-03 20:52:55,4.289915,55.162967,2.862
2022-01-03 20:52:56,4.258558,55.220295,2.877
2022-01-03 20:52:57,4.227124,55.277617,2.706
2022-01-03 20:52:58,4.195611,55.334933,2.956
2022-01-03 20:52:59,4.164019,55.392241,2.732
2022-01-03 20:53:00,4.132347,55.449543,2.777
2022-01-03 20:53:01,4.100596,55.506838,2.865
2022-01-03 20:53:02,4.068765,55.564127,2.795
2022-01-03 20:53:03,4.036853,55.621408,2.703
2022-01-03 20:53:04,4.00486,55.678683,2.899
2022-01-03 20:53:05,3.972786,55.735951,2.759
2022-01-03 20:53:06,3.940631,55.793211,2.893
2022-01-03 20:53:07,3.908393,55.850465,3.052
2022-01-03 20:53:08,3.876072,55.907712,2.999
2022-01-03 20:53:09,3.843669,55.964952,3.006
2022-01-03 20:53:10,3.811182,56.022185,3.028
2022-01-03 20:53:11,3.778612,56.07941,3.419
2022-01-03 20:53:12,3.745957,56.136629,3.325
2022-01-03 20:53:13,3.713218,56.19384,3.275
2022-01-03 20:53:14,3.680393,56.251045,3.382
2022-01-03 20:53:15,3.647483,56.308242,3.327
2022-01-03 20:53:16,3.614488,56.365431,3.436
2022-01-03 20:53:17,3.581406,56.422614,3.313
2022-01-03 20:53:18,3.548237,56.479789,3.364
2022-01-03 20:53:19,3.514981,56.536957,3.576
2022-01-03 20:53:20,3.481637,56.594117,3.629
2022-01-03 20:53:21,3.448205,56.65127,3.784
2022-01-03 20:53:22,3.414685,56.708415,3.47
2022-01-03 20:53:23,3.381075,56.765553,3.582
2022-01-03 20:53:24,3.347376,56.822684,3.51
2022-01-03 20:53:25,3.313587,56.879807,3.717
2022-01-03 20:53:26,3.279708,56.936922,3.926
2022-01-03 20:53:27,3.245738,56.99403,4.072
2022-01-04 10:39:20,3.648218,57.019511,5.569
2022-01-04 10:39:21,3.61421,56.962411,5.97
2022-01-04 10:39:22,3.580292,56.905304,5.653
2022-01-04 10:39:23,3.546465,56.848189,5.774
2022-01-04 10:39:24,3.512728,56.791067,5.338
2022-01-04 10:39:25,3.479081,56.733936,5.695
2022-01-04 10:39:26,3.445523,56.676799,5.334
2022-01-04 10:39:27,3.412054,56.619654,5.031
2022-01-04 10:39:28,3.378673,56.562501,5.447
2022-01-04 10:39:29,3.34538,56.505341,4.783
2022-01-04 10:39:30,3.312174,56.448174,4.864
2022-01-04 10:39:31,3.279055,56.391,4.787
2022-01-04 10:39:32,3.246023,56.333818,4.959
2022-01-04 10:39:33,3.213077,56.276629,4.916
2022-01-04 10:39:34,3.180216,56.219432,4.83
2022-01-04 10:39:35,3.147441,56.162229,4.788
2022-01-04 10:39:36,3.11475,56.105018,4.378
2022-01-04 10:39:37,3.082144,56.0478,4.672
2022-01-04 10:39:38,3.049622,55.990575,4.546
2022-01-04 10:39:39,3.017183,55.933343,4.334
2022-01-04 10:39:40,2.984828,55.876104,4.579
2022-01-04 10:39:41,2.952555,55.818858,4.415
2022-01-04 10:39:42,2.920365,55.761605,4.351
2022-01-04 10:39:43,2.888256,55.704345,4.317
2022-01-04 10:39:44,2.856229,55.647078,4.322
2022-01-04 10:39:45,2.824283,55.589804,4.151
2022-01-04 10:39:46,2.792417,55.532524,4.189
2022-01-04 10:39:47,2.760632,55.475236,3.96
2022-01-04 10:39:48,2.728927,55.417942,4.134
2022-01-04 10:39:49,2.697302,55.360641,3.894
2022-01-04 10:39:50,2.665755,55.303334,3.558
2022-01-04 10:39:51,2.634287,55.246019,3.373
2022-01-04 10:39:52,2.602898,55.188698,3.444
2022-01-04 10:39:53,2.571586,55.131371,3.622
2022-01-04 10:39:54,2.540352,55.074037,2.971
2022-01-04 10:39:55,2.509195,55.016696,3.389
2022-01-04 10:39:56,2.478115,54.959348,3.223
2022-01-04 10:39:57,2.447112,54.901995,3.304
2022-01-04 10:39:58,2.416184,54.844634,3.073
2022-01-04 10:39:59,2.385333,54.787267,2.983
2022-01-04 10:40:00,2.354556,54.729894,3.154
2022-01-04 10:40:01,2.323855,54.672515,3.037
2022-01-04 10:40:02,2.293228,54.615129,2.927
