datetime,longitude,latitude,significant_wave_height
2022-01-01 21:43:30.480,-0.66552,55.867524,1.593
2022-01-01 21:43:31.424,-0.675831,55.810552,1.631
2022-01-01 21:43:32.367,-0.686124,55.75358,1.51
2022-01-01 21:43:33.311,-0.696398,55.696606,1.417
2022-01-01 21:43:34.254,-0.706654,55.639632,1.509
2022-01-01 21:43:35.197,-0.716892,55.582657,1.535
2022-01-01 21:43:36.141,-0.727111,55.525681,1.553
2022-01-01 21:43:37.084,-0.737313,55.468704,1.404
2022-01-01 21:43:38.028,-0.747496,55.411727,1.498
2022-01-01 21:43:38.971,-0.757661,55.354748,1.518
2022-01-01 21:43:39.915,-0.767809,55.297768,1.622
2022-01-01 21:43:40.858,-0.777939,55.240788,1.446
2022-01-01 21:43:41.801,-0.788051,55.183807,1.405
2022-01-01 21:43:42.745,-0.798146,55.126825,1.302
2022-01-01 21:43:43.688,-0.808223,55.069842,1.241
2022-01-01 21:43:44.632,-0.818283,55.012859,1.369
2022-01-01 21:43:45.575,-0.828325,54.955874,1.351
2022-01-01 21:43:46.519,-0.83835,54.898888,1.236
2022-01-01 21:43:47.462,-0.848359,54.841902,1.258
2022-01-01 21:43:48.406,-0.85835,54.784915,1.167
2022-01-01 21:43:49.349,-0.868324,54.727927,1.056
2022-01-02 08:58:39.778,4.523068,53.171661,1.427
2022-01-02 08:58:40.722,4.513529,53.228669,1.509
2022-01-02 08:58:41.665,4.503974,53.285677,1.474
2022-01-02 08:58:42.608,4.494405,53.342683,1.502
2022-01-02 08:58:43.552,4.48482,53.399689,1.361
2022-01-02 08:58:44.495,4.475221,53.456695,1.382
2022-01-02 08:58:45.439,4.465606,53.513699,1.424
2022-01-02 08:58:46.382,4.455977,53.570702,1.383
2022-01-02 08:58:47.326,4.446331,53.627705,1.307
2022-01-02 08:58:48.269,4.436671,53.684707,1.378
2022-01-02 08:58:49.212,4.426995,53.741708,1.368
2022-01-02 08:58:50.156,4.417303,53.798708,1.272
2022-01-02 08:58:51.099,4.407596,53.855708,1.175
2022-01-02 08:58:52.043,4.397873,53.912706,1.159
2022-01-02 08:58:52.986,4.388135,53.969704,1.347
2022-01-02 08:58:53.930,4.37838,54.026701,1.295
2022-01-02 08:58:54.873,4.36861,54.083697,1.307
2022-01-02 08:58:55.817,4.358823,54.140692,1.194
2022-01-02 08:58:56.760,4.349021,54.197686,1.27
2022-01-02 08:58:57.703,4.339203,54.25468,1.289
2022-01-02 08:58:58.647,4.329368,54.311673,1.34
2022-01-02 08:58:59.590,4.319517,54.368665,1.283
2022-01-02 08:59:00.534,4.30965,54.425656,1.299
2022-01-02 08:59:01.477,4.299766,54.482646,1.214
2022-01-02 08:59:02.421,4.289865,54.539635,1.298
2022-01-02 08:59:03.364,4.279948,54.596624,1.365
2022-01-02 08:59:04.307,4.270015,54.653612,1.233
2022-01-02 08:59:05.251,4.260064,54.710599,1.283
2022-01-02 08:59:06.194,4.250097,54.767585,1.153
2022-01-02 08:59:07.138,4.240112,54.82457,1.188
2022-01-02 08:59:08.081,4.230111,54.881554,1.151
2022-01-02 08:59:09.025,4.220093,54.938538,1.257
2022-01-02 08:59:09.968,4.210057,54.99552,1.315
2022-01-02 08:59:10.912,4.200004,55.052502,1.399
2022-01-02 08:59:11.855,4.189934,55.109483,1.244
2022-01-02 08:59:12.798,4.179846,55.166463,1.307
2022-01-02 08:59:13.742,4.169741,55.223443,1.28
2022-01-02 08:59:14.685,4.159618,55.280421,1.297
2022-01-02 08:59:15.629,4.149477,55.337398,1.525
2022-01-02 08:59:16.572,4.139319,55.394375,1.443
2022-01-02 08:59:17.516,4.129143,55.451351,1.511
2022-01-02 08:59:18.459,4.118948,55.508326,1.347
2022-01-02 08:59:19.402,4.108736,55.5653,1.449
2022-01-02 08:59:20.346,4.098505,55.622273,1.484
2022-01-02 08:59:21.289,4.088257,55.679246,1.35
2022-01-02 08:59:22.233,4.07799,55.736217,1.315
2022-01-02 08:59:23.176,4.067704,55.793188,1.522
2022-01-02 08:59:24.120,4.0574,55.850158,1.586
2022-01-02 08:59:25.063,4.047077,55.907127,1.471
2022-01-02 08:59:26.007,4.036736,55.964095,1.382
2022-01-02 08:59:26.950,4.026375,56.021062,1.586
2022-01-02 08:59:27.893,4.015996,56.078028,1.522
2022-01-02 08:59:28.837,4.005598,56.134994,1.52
2022-01-02 08:59:29.780,3.995181,56.191958,1.447
2022-01-02 08:59:30.724,3.984744,56.248922,1.496
2022-01-02 08:59:31.667,3.974288,56.305885,1.558
2022-01-02 08:59:32.611,3.963813,56.362847,1.562
2022-01-02 08:59:33.554,3.953318,56.419808,1.588
2022-01-02 08:59:34.497,3.942804,56.476768,1.531
2022-01-02 08:59:35.441,3.93227,56.533727,1.507
2022-01-04 08:56:25.731,3.712933,51.957691,0.956
2022-01-04 08:56:26.674,3.703696,52.014721,1.002
2022-01-04 08:56:27.618,3.694446,52.071751,0.977
2022-01-04 08:56:28.561,3.685182,52.12878,1.03
2022-01-04 08:56:29.505,3.675904,52.185807,1.021
2022-01-04 08:56:30.448,3.666613,52.242835,1.175
2022-01-04 08:56:31.392,3.657308,52.299861,1.14
2022-01-04 08:56:32.335,3.64799,52.356886,1.229
2022-01-04 08:56:33.278,3.638657,52.413911,1.363
2022-01-04 08:56:34.222,3.629311,52.470935,1.171
2022-01-04 08:56:35.165,3.61995,52.527958,1.301
2022-01-04 08:56:36.109,3.610576,52.584981,1.109
2022-01-04 08:56:37.052,3.601187,52.642002,1.296
2022-01-04 08:56:37.996,3.591785,52.699023,1.197
2022-01-04 08:56:38.939,3.582368,52.756042,1.233
2022-01-04 08:56:39.883,3.572936,52.813062,1.33
2022-01-04 08:56:40.826,3.563491,52.87008,1.454
2022-01-04 08:56:41.769,3.554031,52.927097,1.223
2022-01-04 08:56:42.713,3.544556,52.984114,1.363
2022-01-04 08:56:43.656,3.535067,53.04113,1.347
2022-01-04 08:56:44.600,3.525563,53.098145,1.404
2022-01-04 08:56:45.543,3.516045,53.155159,1.58
2022-01-04 08:56:46.487,3.506511,53.212172,1.705
2022-01-04 08:56:47.430,3.496963,53.269185,1.59
2022-01-04 08:56:48.373,3.4874,53.326196,1.53
2022-01-04 08:56:49.317,3.477822,53.383207,1.523
2022-01-04 08:56:50.260,3.468229,53.440217,1.568
2022-01-04 08:56:51.204,3.45862,53.497227,1.707
2022-01-04 08:56:52.147,3.448997,53.554235,1.735
2022-01-04 08:56:53.091,3.439358,53.611243,1.776
2022-01-04 08:56:54.034,3.429704,53.668249,1.84
2022-01-04 08:56:54.978,3.420034,53.725255,1.846
2022-01-04 08:56:55.921,3.410349,53.78226,1.953
2022-01-04 08:56:56.864,3.400649,53.839265,1.831
2022-01-04 08:56:57.808,3.390932,53.896268,1.777
2022-01-04 08:56:58.751,3.3812,53.953271,1.74
2022-01-04 08:56:59.695,3.371453,54.010272,1.985
2022-01-04 08:57:00.638,3.361689,54.067273,2.018
2022-01-04 08:57:01.582,3.351909,54.124274,1.777
2022-01-04 08:57:02.525,3.342113,54.181273,1.891
2022-01-04 08:57:03.468,3.332302,54.238271,1.969
2022-01-04 08:57:04.412,3.322474,54.295269,1.935
2022-01-04 08:57:05.355,3.312629,54.352265,2.031
2022-01-04 08:57:06.299,3.302769,54.409261,2.095
2022-01-04 08:57:07.242,3.292892,54.466256,2.103
2022-01-04 08:57:08.186,3.282998,54.523251,2.133
2022-01-04 08:57:09.129,3.273088,54.580244,2.177
2022-01-04 08:57:10.073,3.263161,54.637237,2.275
2022-01-04 08:57:11.016,3.253218,54.694228,2.325
2022-01-04 08:57:11.959,3.243257,54.751219,2.586
2022-01-04 08:57:12.903,3.23328,54.808209,2.295
2022-01-04 08:57:13.846,3.223286,54.865198,2.459
2022-01-04 08:57:14.790,3.213274,54.922186,2.402
2022-01-04 08:57:15.733,3.203246,54.979174,2.388
2022-01-04 08:57:16.677,3.1932,55.03616,2.452
2022-01-04 08:57:17.620,3.183137,55.093146,2.763
2022-01-04 08:57:18.563,3.173056,55.150131,2.765
2022-01-04 08:57:19.507,3.162958,55.207115,2.718
2022-01-04 08:57:20.450,3.152842,55.264098,3.152
2022-01-04 08:57:21.394,3.142709,55.32108,3.07
2022-01-04 08:57:22.337,3.132558,55.378062,3.329
2022-01-04 08:57:23.281,3.122389,55.435042,3.205
2022-01-04 08:57:24.224,3.112202,55.492022,3.306
2022-01-04 08:57:25.168,3.101997,55.549001,3.289
2022-01-04 08:57:26.111,3.091774,55.605979,3.291
2022-01-04 08:57:27.054,3.081532,55.662956,3.812
2022-01-04 08:57:27.998,3.071273,55.719932,3.74
2022-01-04 08:57:28.941,3.060994,55.776907,3.975
2022-01-04 08:57:29.885,3.050698,55.833882,3.808
2022-01-04 08:57:30.828,3.040383,55.890856,4.005
2022-01-04 08:57:31.772,3.030049,55.947828,4.22
2022-01-04 08:57:32.715,3.019696,56.0048,4.293
2022-01-04 08:57:33.658,3.009325,56.061771,3.931
2022-01-04 08:57:34.602,2.998934,56.118741,4.25
2022-01-04 08:57:35.545,2.988524,56.17571,4.112
2022-01-04 08:57:36.489,2.978096,56.232679,4.676
2022-01-04 08:57:37.432,2.967648,56.289646,4.526
2022-01-04 08:57:38.376,2.95718,56.346613,4.729
2022-01-04 08:57:39.319,2.946693,56.403578,4.559
2022-01-04 08:57:40.263,2.936187,56.460543,4.69
2022-01-04 08:57:41.206,2.925661,56.517507,4.866
2022-01-04 08:57:42.149,2.915115,56.57447,4.805
2022-01-06 08:54:22.062,2.796385,51.374119,1.133
2022-01-06 08:54:23.005,2.787283,51.431162,1.075
2022-01-06 08:54:23.949,2.778169,51.488204,1.07
2022-01-06 08:54:24.892,2.769041,51.545245,1.205
2022-01-06 08:54:25.835,2.7599,51.602285,1.399
2022-01-06 08:54:26.779,2.750747,51.659324,1.332
2022-01-06 08:54:27.722,2.74158,51.716363,1.335
2022-01-06 08:54:28.666,2.7324,51.773401,1.063
2022-01-06 08:54:29.609,2.723208,51.830437,1.398
2022-01-06 08:54:30.553,2.714001,51.887474,1.345
2022-01-06 08:54:31.496,2.704782,51.944509,1.498
2022-01-06 08:54:32.439,2.695549,52.001544,1.489
2022-01-06 08:54:33.383,2.686302,52.058577,1.456
2022-01-06 08:54:34.326,2.677042,52.11561,1.358
2022-01-06 08:54:35.270,2.667769,52.172642,1.507
2022-01-06 08:54:36.213,2.658481,52.229674,1.644
2022-01-06 08:54:37.157,2.649181,52.286704,1.612
2022-01-06 08:54:38.100,2.639866,52.343734,1.583
2022-01-06 08:54:39.044,2.630537,52.400763,1.647
2022-01-06 08:54:39.987,2.621195,52.457791,1.734
2022-01-06 08:54:40.930,2.611839,52.514818,1.855
2022-01-06 08:54:41.874,2.602468,52.571845,1.777
2022-01-06 08:54:42.817,2.593084,52.62887,1.914
2022-01-06 08:54:43.761,2.583685,52.685895,1.853
2022-01-06 08:54:44.704,2.574272,52.742919,1.944
2022-01-06 08:54:45.648,2.564845,52.799942,2.103
2022-01-06 08:54:46.591,2.555404,52.856965,2.133
2022-01-06 08:54:47.534,2.545948,52.913986,2.204
2022-01-06 08:54:48.478,2.536477,52.971007,2.169
2022-01-06 08:54:49.421,2.526992,53.028027,2.591
2022-01-06 08:54:50.365,2.517493,53.085046,2.412
2022-01-06 08:54:51.308,2.507979,53.142064,2.609
2022-01-06 08:54:52.252,2.498449,53.199081,2.499
2022-01-06 08:54:53.195,2.488906,53.256098,2.624
2022-01-06 08:54:54.139,2.479347,53.313114,2.617
2022-01-06 08:54:55.082,2.469773,53.370129,2.215
2022-01-06 08:54:56.025,2.460184,53.427143,2.264
2022-01-06 08:54:56.969,2.45058,53.484156,2.634
2022-01-06 08:54:57.912,2.440961,53.541169,2.273
2022-01-06 08:54:58.856,2.431327,53.59818,2.361
2022-01-06 08:54:59.799,2.421677,53.655191,2.314
2022-01-06 08:55:00.743,2.412012,53.712201,2.491
2022-01-06 08:55:01.686,2.402331,53.76921,2.421
2022-01-06 08:55:02.629,2.392635,53.826218,2.49
2022-01-06 08:55:03.573,2.382923,53.883226,2.523
2022-01-06 08:55:04.516,2.373196,53.940232,2.494
2022-01-06 08:55:05.460,2.363452,53.997238,2.856
2022-01-06 08:55:06.403,2.353693,54.054243,2.969
2022-01-06 08:55:07.347,2.343918,54.111247,2.886
2022-01-06 08:55:08.290,2.334127,54.16825,2.983
2022-01-06 08:55:09.234,2.32432,54.225252,2.779
2022-01-06 08:55:10.177,2.314496,54.282254,2.729
2022-01-06 08:55:11.120,2.304657,54.339255,2.492
2022-01-06 08:55:12.064,2.294801,54.396254,2.629
2022-01-06 08:55:13.007,2.284928,54.453253,2.517
2022-01-06 08:55:13.951,2.275039,54.510252,2.55
2022-01-06 08:55:14.894,2.265134,54.567249,2.912
2022-01-06 08:55:15.838,2.255212,54.624245,2.698
2022-01-06 08:55:16.781,2.245273,54.681241,2.475
2022-01-06 08:55:17.724,2.235317,54.738236,2.468
2022-01-06 08:55:18.668,2.225345,54.795229,2.462
