datetime,longitude,latitude,significant_wave_height
2022-01-01 20:26:03.960,5.459426,56.281848,1.956
2022-01-01 20:26:04.979,5.526212,56.244691,1.93
2022-01-01 20:26:05.998,5.59286,56.207494,2.184
2022-01-01 20:26:07.016,5.659372,56.170256,2.126
2022-01-01 20:26:08.035,5.725746,56.132978,1.975
2022-01-01 20:26:09.054,5.791984,56.095659,2.072
2022-01-01 20:26:10.073,5.858086,56.058299,1.987
2022-01-01 20:26:11.091,5.924052,56.0209,2.24
2022-01-01 20:26:12.110,5.989882,55.98346,1.964
2022-01-01 20:26:13.129,6.055577,55.94598,1.949
2022-01-01 20:26:14.147,6.121138,55.908461,1.863
2022-01-01 20:26:15.166,6.186564,55.870901,1.977
2022-01-01 20:26:16.185,6.251855,55.833302,2.086
2022-01-01 20:26:17.204,6.317012,55.795664,2.089
2022-01-01 20:26:18.222,6.382036,55.757987,1.969
2022-01-01 20:26:19.241,6.446927,55.72027,1.949
2022-01-01 20:26:20.260,6.511684,55.682514,2.091
2022-01-01 20:26:21.278,6.576308,55.64472,2.069
2022-01-01 20:26:22.297,6.6408,55.606886,2.111
2022-01-01 20:26:23.316,6.70516,55.569014,2.188
2022-01-01 20:26:24.335,6.769389,55.531103,1.996
2022-01-01 20:26:25.353,6.833485,55.493154,2.067
2022-01-01 20:26:26.372,6.897451,55.455167,1.883
2022-01-01 20:26:27.391,6.961285,55.417141,2.154
2022-01-01 20:26:28.409,7.024989,55.379077,1.897
2022-01-01 20:26:29.428,7.088562,55.340976,2.107
2022-01-01 20:26:30.447,7.152006,55.302837,1.933
2022-01-01 20:26:31.466,7.21532,55.26466,1.82
2022-01-01 20:26:32.484,7.278504,55.226445,1.907
2022-01-01 20:26:33.503,7.34156,55.188193,1.921
2022-01-01 20:26:34.522,7.404486,55.149904,1.88
2022-01-01 20:26:35.540,7.467284,55.111578,1.602
2022-01-01 20:26:36.559,7.529954,55.073214,1.816
2022-01-01 20:26:37.578,7.592497,55.034814,1.785
2022-01-01 20:26:38.596,7.654911,54.996377,1.794
2022-01-01 20:26:39.615,7.717198,54.957903,1.611
2022-01-01 20:26:40.634,7.779359,54.919393,1.57
2022-01-01 20:26:41.653,7.841393,54.880846,1.634
2022-01-01 20:26:42.671,7.9033,54.842263,1.549
2022-01-01 20:26:43.690,7.965081,54.803643,1.389
2022-01-01 20:26:44.709,8.026737,54.764988,1.394
2022-01-01 20:26:45.727,8.088267,54.726296,1.228
2022-01-02 20:48:04.613,-1.396804,55.330491,0.794
2022-01-02 20:48:05.632,-1.333397,55.292341,0.906
2022-01-02 20:48:06.650,-1.270119,55.254154,0.838
2022-01-02 20:48:07.669,-1.206971,55.215928,0.888
2022-01-02 20:48:08.688,-1.143953,55.177666,0.81
2022-01-02 20:48:09.706,-1.081062,55.139366,0.921
2022-01-02 20:48:10.725,-1.0183,55.101029,1.04
2022-01-02 20:48:11.744,-0.955667,55.062655,1.054
2022-01-02 20:48:12.762,-0.89316,55.024244,0.98
2022-01-02 20:48:13.781,-0.830782,54.985797,1.112
2022-01-02 20:48:14.800,-0.76853,54.947312,1.278
2022-01-02 20:48:15.819,-0.706406,54.908792,0.932
2022-01-02 20:48:16.837,-0.644408,54.870234,1.137
2022-01-02 20:48:17.856,-0.582536,54.831641,1.207
2022-01-02 20:48:18.875,-0.52079,54.793011,1.062
2022-01-02 20:48:19.893,-0.45917,54.754345,1.169
2022-01-02 20:48:20.912,-0.397675,54.715644,1.126
2022-01-02 20:48:21.931,-0.336306,54.676906,0.971
2022-01-02 20:48:22.950,-0.27506,54.638133,0.748
2022-01-02 20:48:23.968,-0.21394,54.599324,1.101
2022-01-02 20:48:24.987,-0.152943,54.56048,1.082
2022-01-02 20:48:26.006,-0.092071,54.521601,0.883
2022-01-02 20:48:27.024,-0.031322,54.482686,0.981
2022-01-02 20:48:28.043,0.029304,54.443736,1.025
2022-01-02 20:48:29.062,0.089807,54.404751,1.19
2022-01-02 20:48:30.081,0.150188,54.365731,1.089
2022-01-02 20:48:31.099,0.210445,54.326677,1.118
2022-01-02 20:48:32.118,0.270581,54.287587,1.047
2022-01-02 20:48:33.137,0.330596,54.248463,0.949
2022-01-02 20:48:34.155,0.390488,54.209305,1.208
2022-01-02 20:48:35.174,0.45026,54.170113,1.017
2022-01-02 20:48:36.193,0.509911,54.130886,1.182
2022-01-02 20:48:37.212,0.569441,54.091625,1.289
2022-01-02 20:48:38.230,0.628851,54.05233,1.259
2022-01-02 20:48:39.249,0.688141,54.013002,1.156
2022-01-02 20:48:40.268,0.747312,53.973639,1.221
2022-01-02 20:48:41.286,0.806363,53.934243,1.52
2022-01-02 20:48:42.305,0.865295,53.894813,1.417
2022-01-02 20:48:43.324,0.924108,53.85535,1.183
2022-01-02 20:48:44.342,0.982803,53.815854,1.411
2022-01-02 20:48:45.361,1.04138,53.776324,1.201
2022-01-02 20:48:46.380,1.099838,53.736762,1.191
2022-01-02 20:48:47.399,1.15818,53.697166,1.099
2022-01-02 20:48:48.417,1.216403,53.657537,1.157
2022-01-02 20:48:49.436,1.27451,53.617876,1.041
2022-01-02 20:48:50.455,1.332501,53.578182,1.059
2022-01-02 20:48:51.473,1.390374,53.538455,1.205
