datetime,significant_wave_height,peak_wave_period
2022-01-01 00:00:00.000000000,1.58,7.1429
2022-01-01 00:10:00.000000000,1.59,7.1429
2022-01-01 00:20:00.000000256,1.58,7.1429
2022-01-01 00:30:00.000000000,1.6,7.1429
2022-01-01 00:40:00.000000000,1.67,7.1429
2022-01-01 00:50:00.000000000,1.57,7.1429
2022-01-01 01:00:00.000000000,1.48,7.1429
2022-01-01 01:09:59.999999744,1.47,12.5
2022-01-01 01:20:00.000000000,1.52,12.5
2022-01-01 01:30:00.000000000,1.51,7.6923
2022-01-01 01:40:00.000000000,1.54,7.6923
2022-01-01 01:50:00.000000256,1.51,7.6923
2022-01-01 02:00:00.000000000,1.38,11.1111
2022-01-01 02:10:00.000000000,1.34,7.1429
2022-01-01 02:20:00.000000000,1.5,7.1429
2022-01-01 02:30:00.000000000,1.57,7.1429
2022-01-01 02:39:59.999999744,1.48,7.1429
2022-01-01 02:50:00.000000000,1.41,7.1429
2022-01-01 03:00:00.000000000,1.46,7.1429
2022-01-01 03:10:00.000000000,1.49,7.1429
2022-01-01 03:20:00.000000256,1.47,7.1429
2022-01-01 03:30:00.000000000,1.49,7.1429
2022-01-01 03:40:00.000000000,1.51,5.8824
2022-01-01 03:50:00.000000000,1.53,5.8824
2022-01-01 04:00:00.000000000,1.52,5.5556
2022-01-01 04:09:59.999999744,1.47,5.5556
2022-01-01 04:20:00.000000000,1.48,6.6667
2022-01-01 04:30:00.000000000,1.33,12.5
2022-01-01 04:40:00.000000000,1.28,6.6667
2022-01-01 04:50:00.000000256,1.29,6.6667
2022-01-01 05:00:00.000000000,1.35,5.2632
2022-01-01 05:10:00.000000000,1.27,5.2632
2022-01-01 05:20:00.000000000,1.29,5.2632
2022-01-01 05:30:00.000000000,1.31,5.2632
2022-01-01 05:39:59.999999744,1.22,12.5
2022-01-01 05:50:00.000000000,1.3,6.6667
2022-01-01 06:00:00.000000000,1.33,5.5556
2022-01-01 06:10:00.000000000,1.25,12.5
2022-01-01 06:20:00.000000256,1.2,12.5
2022-01-01 06:30:00.000000000,1.31,5.2632
2022-01-01 06:40:00.000000000,1.35,5.2632
2022-01-01 06:50:00.000000000,1.27,5.0
2022-01-01 07:00:00.000000000,1.23,5.0
2022-01-01 07:09:59.999999744,1.27,5.0
2022-01-01 07:20:00.000000000,1.35,5.2632
2022-01-01 07:30:00.000000000,1.28,5.2632
2022-01-01 07:40:00.000000000,1.25,11.1111
2022-01-01 07:50:00.000000256,1.24,11.1111
2022-01-01 08:00:00.000000000,1.16,12.5
2022-01-01 08:10:00.000000000,1.23,4.7619
2022-01-01 08:20:00.000000000,1.25,4.7619
2022-01-01 08:30:00.000000000,1.21,5.2632
2022-01-01 08:39:59.999999744,1.23,11.1111
2022-01-01 08:50:00.000000000,1.33,5.5556
2022-01-01 09:00:00.000000000,1.32,5.5556
2022-01-01 09:10:00.000000000,1.21,5.2632
2022-01-01 09:20:00.000000256,1.24,5.2632
2022-01-01 09:30:00.000000000,1.27,5.2632
2022-01-01 09:40:00.000000000,1.24,5.2632
2022-01-01 09:50:00.000000000,1.23,5.8824
2022-01-01 10:00:00.000000000,1.24,5.2632
2022-01-01 10:09:59.999999744,1.29,5.2632
2022-01-01 10:20:00.000000000,1.31,4.7619
2022-01-01 10:30:00.000000000,1.37,5.2632
2022-01-01 10:40:00.000000000,1.42,5.2632
2022-01-01 10:50:00.000000256,1.36,5.2632
2022-01-01 11:00:00.000000000,1.45,5.5556
2022-01-01 11:10:00.000000000,1.58,5.5556
2022-01-01 11:20:00.000000000,1.55,5.8824
2022-01-01 11:30:00.000000000,1.73,5.2632
2022-01-01 11:39:59.999999744,1.77,5.2632
2022-01-01 11:50:00.000000000,1.69,5.5556
2022-01-01 12:00:00.000000000,1.93,5.8824
2022-01-01 12:10:00.000000000,2.06,6.25
2022-01-01 12:20:00.000000256,1.95,6.6667
2022-01-01 12:30:00.000000000,1.96,6.6667
2022-01-01 12:40:00.000000000,2.02,6.25
2022-01-01 12:50:00.000000000,2.05,6.25
2022-01-01 13:00:00.000000000,2.1,6.25
2022-01-01 13:09:59.999999744,1.97,5.8824
2022-01-01 13:20:00.000000000,1.89,6.6667
2022-01-01 13:30:00.000000000,2.15,6.6667
2022-01-01 13:40:00.000000000,2.39,6.25
2022-01-01 13:50:00.000000256,2.26,6.6667
2022-01-01 14:00:00.000000000,2.1,6.6667
2022-01-01 14:10:00.000000000,2.02,6.6667
2022-01-01 14:20:00.000000000,2.01,6.6667
2022-01-01 14:30:00.000000000,2.01,6.6667
2022-01-01 14:39:59.999999744,2.05,6.6667
2022-01-01 14:50:00.000000000,2.08,7.1429
2022-01-01 15:00:00.000000000,2.09,7.1429
2022-01-01 15:10:00.000000000,1.93,7.1429
2022-01-01 15:20:00.000000256,1.81,7.1429
2022-01-01 15:30:00.000000000,1.87,7.1429
