datetime,significant_wave_height,peak_wave_period
2022-01-14 08:10:00.000000000,1.19,5.8824
2022-01-14 08:20:00.000000000,1.23,5.8824
2022-01-14 08:30:00.000000000,1.25,5.5556
2022-01-14 08:39:59.999999744,1.27,6.25
2022-01-14 08:50:00.000000000,1.27,6.25
2022-01-14 09:00:00.000000000,1.2,6.25
2022-01-14 09:10:00.000000000,1.17,6.6667
2022-01-14 09:20:00.000000256,1.24,5.2632
2022-01-14 09:30:00.000000000,1.27,5.2632
2022-01-14 09:40:00.000000000,1.26,7.6923
2022-01-14 09:50:00.000000000,1.28,5.8824
2022-01-14 10:00:00.000000000,1.25,5.8824
2022-01-14 10:09:59.999999744,1.27,7.1429
2022-01-14 10:20:00.000000000,1.3,7.1429
2022-01-14 10:30:00.000000000,1.26,6.6667
2022-01-14 10:40:00.000000000,1.27,6.25
2022-01-14 10:50:00.000000256,1.26,6.25
2022-01-14 11:00:00.000000000,1.25,7.1429
2022-01-14 11:10:00.000000000,1.25,7.1429
2022-01-14 11:20:00.000000000,1.3,7.1429
2022-01-14 11:30:00.000000000,1.27,7.1429
2022-01-14 11:39:59.999999744,1.26,7.1429
2022-01-14 11:50:00.000000000,1.25,7.1429
2022-01-14 12:00:00.000000000,1.15,7.1429
2022-01-14 12:10:00.000000000,1.09,6.6667
2022-01-14 12:20:00.000000256,1.16,6.6667
2022-01-14 12:30:00.000000000,1.24,7.1429
2022-01-14 12:40:00.000000000,1.25,7.1429
2022-01-14 12:50:00.000000000,1.2,7.1429
2022-01-14 13:00:00.000000000,1.18,7.1429
2022-01-14 13:09:59.999999744,1.17,7.1429
2022-01-14 13:20:00.000000000,1.17,7.1429
2022-01-14 13:30:00.000000000,1.15,7.1429
2022-01-14 13:40:00.000000000,1.19,5.8824
2022-01-14 13:50:00.000000256,1.22,5.8824
2022-01-14 14:00:00.000000000,1.16,6.6667
2022-01-14 14:10:00.000000000,1.15,6.25
2022-01-14 14:20:00.000000000,1.18,7.1429
2022-01-14 14:30:00.000000000,1.15,6.6667
2022-01-14 14:39:59.999999744,1.15,8.3333
2022-01-14 14:50:00.000000000,1.2,7.1429
2022-01-14 15:00:00.000000000,1.22,7.1429
2022-01-14 15:10:00.000000000,1.18,7.1429
2022-01-14 15:20:00.000000256,1.13,6.6667
2022-01-14 15:30:00.000000000,1.13,7.6923
2022-01-14 15:40:00.000000000,1.16,7.1429
2022-01-14 15:50:00.000000000,1.11,7.1429
2022-01-14 16:00:00.000000000,1.08,6.6667
2022-01-14 16:09:59.999999744,1.12,6.6667
2022-01-14 16:20:00.000000000,1.14,5.8824
2022-01-14 16:30:00.000000000,1.19,5.8824
2022-01-14 16:40:00.000000000,1.13,6.6667
2022-01-14 16:50:00.000000256,1.1,6.25
2022-01-14 17:00:00.000000000,1.1,5.8824
2022-01-14 17:10:00.000000000,1.11,7.1429
2022-01-14 17:20:00.000000000,1.09,7.1429
2022-01-14 17:30:00.000000000,1.0,7.1429
2022-01-14 17:39:59.999999744,1.05,5.8824
2022-01-14 17:50:00.000000000,1.14,6.6667
2022-01-14 18:00:00.000000000,1.15,6.6667
2022-01-14 18:10:00.000000000,1.08,7.1429
2022-01-14 18:20:00.000000256,1.08,6.6667
2022-01-14 18:30:00.000000000,1.1,7.1429
2022-01-14 18:40:00.000000000,1.03,5.8824
2022-01-14 18:50:00.000000000,1.04,6.6667
2022-01-14 19:00:00.000000000,1.1,6.6667
2022-01-14 19:09:59.999999744,1.1,6.6667
2022-01-14 19:20:00.000000000,1.11,6.6667
2022-01-14 19:30:00.000000000,1.12,6.6667
2022-01-14 19:40:00.000000000,1.05,6.6667
2022-01-14 19:50:00.000000256,1.01,6.6667
2022-01-14 20:00:00.000000000,1.04,6.25
2022-01-14 20:10:00.000000000,1.01,5.8824
2022-01-14 20:20:00.000000000,0.99,6.6667
2022-01-14 20:30:00.000000000,1.05,6.6667
2022-01-14 20:39:59.999999744,1.05,6.6667
2022-01-14 20:50:00.000000000,0.99,5.8824
2022-01-14 21:00:00.000000000,1.01,6.6667
2022-01-14 21:10:00.000000000,1.04,6.6667
2022-01-14 21:20:00.000000256,1.01,6.6667
2022-01-14 21:30:00.000000000,1.01,6.25
2022-01-14 21:40:00.000000000,1.02,6.6667
2022-01-14 21:50:00.000000000,1.04,6.6667
2022-01-14 22:00:00.000000000,1.01,6.25
2022-01-14 22:09:59.999999744,0.96,6.6667
2022-01-14 22:20:00.000000000,0.98,6.6667
2022-01-14 22:30:00.000000000,1.02,7.1429
2022-01-14 22:40:00.000000000,1.04,6.25
2022-01-14 22:50:00.000000256,1.01,6.25
2022-01-14 23:00:00.000000000,0.98,6.6667
2022-01-14 23:10:00.000000000,1.0,6.6667
2022-01-14 23:20:00.000000000,1.01,6.6667
2022-01-14 23:30:00.000000000,0.99,6.6667
2022-01-14 23:39:59.999999744,0.96,6.25
2022-01-14 23:50:00.000000000,1.01,7.1429
2022-01-15 00:00:00.000000000,1.03,7.6923
2022-01-15 00:10:00.000000000,1.02,8.3333
2022-01-15 00:20:00.000000256,1.03,6.6667
2022-01-15 00:30:00.000000000,1.02,7.1429
2022-01-15 00:40:00.000000000,1.02,7.1429
2022-01-15 00:50:00.000000000,1.02,6.6667
2022-01-15 01:00:00.000000000,1.05,6.6667
2022-01-15 01:09:59.999999744,1.04,6.6667
2022-01-15 01:20:00.000000000,0.95,9.0909
2022-01-15 01:30:00.000000000,0.99,7.6923
2022-01-15 01:40:00.000000000,1.05,7.1429
2022-01-15 01:50:00.000000256,0.99,6.6667
2022-01-15 02:00:00.000000000,0.93,6.6667
2022-01-15 02:10:00.000000000,0.92,8.3333
2022-01-15 02:20:00.000000000,0.97,10.0
2022-01-15 02:30:00.000000000,0.96,9.0909
2022-01-15 02:39:59.999999744,0.95,9.0909
2022-01-15 02:50:00.000000000,0.95,6.6667
2022-01-15 03:00:00.000000000,0.92,6.25
2022-01-15 03:10:00.000000000,0.91,6.25
2022-01-15 03:20:00.000000256,0.92,8.3333
2022-01-15 03:30:00.000000000,0.91,6.25
2022-01-15 03:40:00.000000000,0.98,10.0
2022-01-15 03:50:00.000000000,1.02,11.1111
2022-01-15 04:00:00.000000000,0.99,6.6667
2022-01-15 04:09:59.999999744,0.97,6.25
2022-01-15 04:20:00.000000000,0.95,6.25
2022-01-15 04:30:00.000000000,0.94,10.0
2022-01-15 04:40:00.000000000,0.96,9.0909
2022-01-15 04:50:00.000000256,0.94,6.25
2022-01-15 05:00:00.000000000,0.93,9.0909
