TIME,VHM0,VTZA
2022-01-01 00:00:00,0.93,3.56
2022-01-01 00:30:00,0.85,3.53
2022-01-01 01:00:00,0.86,3.47
2022-01-01 01:30:00,0.82,3.53
2022-01-01 02:00:00,0.75,3.53
2022-01-01 02:30:00,0.7,3.57
2022-01-01 03:00:00,0.63,3.48
2022-01-01 03:30:00,0.65,3.27
2022-01-01 04:00:00,0.58,3.21
2022-01-01 04:30:00,0.56,3.27
2022-01-01 05:00:00,0.57,3.28
2022-01-01 05:30:00,0.53,3.23
2022-01-01 06:00:00,0.59,3.4
2022-01-01 06:30:00,0.61,3.46
2022-01-01 07:00:00,0.71,3.49
2022-01-01 07:30:00,0.75,3.55
2022-01-01 08:00:00,0.71,3.37
2022-01-01 08:30:00,0.79,3.44
2022-01-01 09:00:00,0.75,3.22
2022-01-01 09:30:00,0.79,3.17
2022-01-01 10:00:00,0.72,3.07
2022-01-01 10:30:00,0.82,2.99
2022-01-01 11:00:00,0.82,2.98
2022-01-01 11:30:00,0.78,3.05
2022-01-01 12:00:00,0.75,3.02
2022-01-01 12:30:00,0.81,3.18
2022-01-01 13:00:00,0.78,3.26
2022-01-01 13:30:00,0.78,3.34
2022-01-01 14:00:00,0.76,3.16
2022-01-01 14:30:00,0.76,3.3
2022-01-01 15:00:00,0.79,3.28
2022-01-01 15:30:00,0.82,3.35
2022-01-01 16:00:00,0.82,3.4
2022-01-01 16:30:00,0.81,3.45
2022-01-01 17:00:00,0.8,3.5
2022-01-01 17:30:00,0.71,3.53
2022-01-01 18:00:00,0.72,3.71
2022-01-01 18:30:00,0.67,3.65
2022-01-01 19:00:00,0.66,3.64
2022-01-01 19:30:00,0.63,3.68
2022-01-01 20:00:00,0.69,3.55
2022-01-01 20:30:00,0.73,3.45
2022-01-01 21:00:00,0.72,3.33
2022-01-01 21:30:00,0.72,3.09
2022-01-01 22:00:00,0.71,3.02
2022-01-01 22:30:00,0.78,3.0
2022-01-01 23:00:00,0.83,3.03
2022-01-01 23:30:00,0.8,3.07
2022-01-02 00:00:00,0.91,3.31
2022-01-02 00:30:00,0.91,3.38
2022-01-02 01:00:00,0.87,3.36
2022-01-02 01:30:00,0.96,3.26
2022-01-02 02:00:00,1.04,3.24
2022-01-02 02:30:00,0.98,3.41
2022-01-02 03:00:00,1.09,3.39
2022-01-02 03:30:00,1.08,3.52
2022-01-02 04:00:00,1.07,3.66
2022-01-02 04:30:00,1.01,3.76
2022-01-02 05:00:00,1.01,3.84
2022-01-02 05:30:00,0.99,3.87
2022-01-02 06:00:00,0.92,3.95
2022-01-02 06:30:00,1.01,4.1
2022-01-02 07:00:00,1.16,4.3
2022-01-02 07:30:00,1.34,4.62
2022-01-02 08:00:00,1.69,4.98
2022-01-02 08:30:00,1.65,4.94
2022-01-02 09:00:00,1.7,4.78
2022-01-02 09:30:00,1.85,4.69
2022-01-02 10:00:00,1.84,4.45
2022-01-02 10:30:00,2.04,4.52
2022-01-02 11:00:00,2.12,4.37
2022-01-02 11:30:00,2.2,4.54
2022-01-02 12:00:00,2.09,4.37
2022-01-02 12:30:00,2.0,4.36
2022-01-02 13:00:00,1.87,4.22
2022-01-02 13:30:00,1.75,4.04
2022-01-02 14:00:00,1.81,4.35
2022-01-02 14:30:00,1.68,4.25
2022-01-02 15:00:00,1.56,4.09
2022-01-02 15:30:00,1.48,4.11
2022-01-02 16:00:00,1.34,3.96
2022-01-02 16:30:00,1.34,4.06
2022-01-02 17:00:00,1.42,4.22
2022-01-02 17:30:00,1.57,4.42
2022-01-02 18:00:00,1.74,4.8
2022-01-02 18:30:00,1.87,5.07
2022-01-02 19:00:00,1.86,5.27
2022-01-02 19:30:00,2.12,5.52
2022-01-02 20:00:00,2.02,5.45
2022-01-02 20:30:00,2.37,5.82
2022-01-02 21:00:00,1.93,5.33
2022-01-02 21:30:00,2.19,5.34
2022-01-02 22:00:00,2.23,5.09
2022-01-02 22:30:00,2.16,4.72
2022-01-02 23:00:00,2.24,4.73
2022-01-02 23:30:00,2.49,4.74
2022-01-03 00:00:00,2.56,4.87
2022-01-03 00:30:00,2.43,4.64
2022-01-03 01:00:00,2.26,4.47
2022-01-03 01:30:00,2.18,4.52
2022-01-03 02:00:00,2.14,4.43
2022-01-03 02:30:00,2.02,4.35
2022-01-03 03:00:00,2.07,4.37
2022-01-03 03:30:00,1.98,4.35
2022-01-03 04:00:00,1.96,4.34
2022-01-03 04:30:00,1.9,4.47
2022-01-03 05:00:00,1.88,4.54
2022-01-03 05:30:00,1.9,4.76
2022-01-03 06:00:00,1.98,4.98
2022-01-03 06:30:00,1.97,5.05
2022-01-03 07:00:00,2.03,5.33
2022-01-03 07:30:00,1.9,5.33
2022-01-03 08:00:00,1.97,5.34
2022-01-03 08:30:00,1.83,5.32
2022-01-03 09:00:00,1.82,5.28
2022-01-03 09:30:00,1.8,5.08
2022-01-03 10:00:00,1.91,5.03
2022-01-03 10:30:00,1.91,4.75
2022-01-03 11:00:00,1.79,4.37
2022-01-03 11:30:00,1.89,4.35
2022-01-03 12:00:00,1.9,4.23
2022-01-03 12:30:00,1.87,4.25
2022-01-03 13:00:00,1.94,4.26
2022-01-03 13:30:00,1.77,4.19
2022-01-03 14:00:00,1.76,4.11
2022-01-03 14:30:00,1.81,4.15
2022-01-03 15:00:00,1.57,4.03
2022-01-03 15:30:00,1.52,3.81
2022-01-03 16:00:00,1.43,3.84
2022-01-03 16:30:00,1.31,3.69
2022-01-03 17:00:00,1.26,3.78
2022-01-03 17:30:00,1.25,3.91
2022-01-03 18:00:00,1.18,4.05
2022-01-03 18:30:00,1.18,4.32
2022-01-03 19:00:00,1.13,4.39
2022-01-03 19:30:00,1.23,4.55
2022-01-03 20:00:00,1.17,4.68
2022-01-03 20:30:00,1.11,4.64
2022-01-03 21:00:00,1.09,4.61
2022-01-03 21:30:00,1.16,4.51
2022-01-03 22:00:00,1.05,4.29
2022-01-03 22:30:00,1.11,4.23
2022-01-03 23:00:00,1.21,3.99
2022-01-03 23:30:00,1.09,3.57
2022-01-04 00:00:00,1.15,3.42
2022-01-04 00:30:00,1.13,3.31
2022-01-04 01:00:00,1.14,3.3
2022-01-04 01:30:00,1.14,3.33
2022-01-04 02:00:00,1.16,3.39
2022-01-04 02:30:00,1.14,3.54
2022-01-04 03:00:00,1.27,3.61
2022-01-04 03:30:00,1.25,3.66
2022-01-04 04:00:00,1.1,3.49
2022-01-04 04:30:00,1.03,3.42
2022-01-04 05:00:00,1.01,3.5
2022-01-04 05:30:00,0.98,3.46
2022-01-04 06:00:00,0.98,3.61
2022-01-04 06:30:00,0.94,3.7
2022-01-04 07:00:00,0.86,3.79
2022-01-04 07:30:00,0.82,3.85
2022-01-04 08:00:00,0.83,3.9
2022-01-04 08:30:00,0.84,3.92
2022-01-04 09:00:00,0.83,3.88
2022-01-04 09:30:00,0.84,3.83
2022-01-04 10:00:00,0.95,3.86
2022-01-04 10:30:00,0.98,3.68
2022-01-04 11:00:00,0.98,3.57
2022-01-04 11:30:00,1.03,3.56
2022-01-04 12:00:00,0.99,3.48
2022-01-04 12:30:00,0.93,3.43
2022-01-04 13:00:00,0.87,3.48
2022-01-04 13:30:00,0.86,3.55
2022-01-04 14:00:00,0.87,3.7
2022-01-04 14:30:00,1.09,3.93
2022-01-04 15:00:00,1.18,4.12
2022-01-04 15:30:00,1.33,4.4
2022-01-04 16:00:00,1.45,4.42
2022-01-04 16:30:00,1.43,4.29
2022-01-04 17:00:00,1.63,4.5
2022-01-04 17:30:00,1.45,4.31
2022-01-04 18:00:00,1.45,4.29
