station,lat,lon
6200144,53.4,1.7
6200145,53.102,2.8
6201045,54.29402,-0.31852
6201047,55.18517,-1.47835
6201050,53.2449,0.44699
6201059,52.47586,1.81717
A121,55.41664,3.81663
AkkaertSouthwestBuoy,51.416,2.819
Europlatform2,51.99861,3.27639
Europlatform3,51.99861,3.27639
F3platform,54.85389,4.7275
IJmuidenMunitiestort,52.55,4.05833
J61,53.81663,2.95
K13a,53.21778,3.22
K141,53.26671,3.63327
KeetenBoei,51.608,3.966
KwintebankBuoy,51.349,2.706
L91,53.6138,4.9607
LichteilandGoeree1,51.92583,3.66972
MaeslantkeringZeezijdeNoordMeetpaal,51.961,4.159
MaeslantkeringZeezijdeZuidMeetpaal,51.9578,4.1545
NieuwpoortBuoy,51.16139,2.69056
Nymindegab,55.81,7.941
Oosterschelde11,51.64379,3.48122
OstendEasternPalisadeBuoy,51.247,2.928
OverloopVanValkenisse,51.37151,4.13717
PasVanTerneuzenBoei,51.3591,3.7452
Q1,52.9264,4.1506
WaddenEierlandseGat,53.27694,4.66167
WesthinderBuoy,51.3811,2.4358
ZeebruggeZandopvangkadeBuoy,51.356,3.193
ZwinBuoy,51.372,3.359
