station,lat,lon,start_date,end_date
6200144,53.4,1.7,2022-01-01 00:00:00,2023-07-31 22:00:00
6200145,53.102,2.8,2022-01-01 00:00:00,2023-11-21 16:00:00
6201045,54.29402,-0.31852,2022-01-01 00:30:00,2023-12-31 23:00:00
6201047,55.18517,-1.47835,2022-01-01 00:00:00,2023-12-31 23:00:00
6201050,53.2449,0.44699,2022-01-01 00:30:00,2023-12-31 23:00:00
6201059,52.47586,1.81717,2022-01-01 00:30:00,2023-12-31 23:00:00
A121_,55.41664,3.81663,2022-01-01 00:00:00,2022-05-16 23:30:00
AkkaertSouthwestBuoy,51.416,2.819,2022-01-01 00:00:00,2023-12-31 23:30:00
Europlatform2,51.99861,3.27639,2022-01-01 00:00:00,2023-12-31 23:50:00
Europlatform3,51.99861,3.27639,2022-01-01 00:00:00,2023-12-31 23:50:00
F3platform,54.85389,4.7275,2022-01-01 00:00:00,2023-12-31 23:50:00
IJmuidenMunitiestort_,52.55,4.05833,2022-01-01 00:00:00,2023-12-31 23:50:00
J61,53.81663,2.95,2022-01-01 00:00:00,2023-12-31 23:50:00
K13a_,53.21778,3.22,2022-01-01 00:00:00,2023-12-31 23:50:00
K141_,53.26671,3.63327,2022-01-01 00:00:00,2023-12-31 23:50:00
KeetenBoei,51.608,3.966,2022-01-01 00:00:00,2023-12-31 23:50:00
KwintebankBuoy,51.349,2.706,2022-01-01 00:00:00,2023-12-31 23:30:00
L91_,53.6138,4.9607,2022-01-01 00:00:00,2023-12-31 23:50:00
LichteilandGoeree1_,51.92583,3.66972,2022-01-01 00:00:00,2023-12-31 23:50:00
MaeslantkeringZeezijdeNoordMeetpaal,51.961,4.159,2022-01-01 00:00:00,2023-12-31 23:50:00
MaeslantkeringZeezijdeZuidMeetpaal,51.9578,4.1545,2022-01-01 00:00:00,2023-12-31 23:50:00
NieuwpoortBuoy,51.16139,2.69056,2022-01-01 00:00:00,2023-12-31 23:30:00
Nymindegab,55.81,7.941,2022-01-02 01:30:00,2023-12-31 23:30:00
Oosterschelde11,51.64379,3.48122,2022-01-12 14:10:00,2023-12-31 23:50:00
OstendEasternPalisadeBuoy,51.247,2.928,2022-01-01 00:00:00,2023-12-31 23:30:00
OverloopVanValkenisse,51.37151,4.13717,2022-01-01 00:00:00,2023-12-31 23:50:00
PasVanTerneuzenBoei,51.3591,3.7452,2022-01-01 00:00:00,2023-12-31 23:50:00
Q1_,52.9264,4.1506,2022-01-14 08:10:00,2022-11-29 15:50:00
WaddenEierlandseGat,53.27694,4.66167,2022-01-01 00:00:00,2023-12-31 23:50:00
WesthinderBuoy,51.3811,2.4358,2022-01-01 00:00:00,2023-12-31 23:30:00
ZeebruggeZandopvangkadeBuoy,51.356,3.193,2022-01-01 00:00:00,2023-12-31 23:30:00
ZwinBuoy,51.372,3.359,2022-01-01 00:00:00,2023-01-23 11:00:00
