TIME,VHM0,VTZA,VTPK
2022-01-01 00:00:00.000000000,1.35,5.0,5.5556
2022-01-01 00:10:00.000000000,1.39,4.9,5.5556
2022-01-01 00:20:00.000000256,1.32,5.1,5.5556
2022-01-01 00:30:00.000000000,1.26,5.0,5.5556
2022-01-01 00:40:00.000000000,1.23,4.9,5.5556
2022-01-01 00:50:00.000000000,1.25,5.0,5.2632
2022-01-01 01:00:00.000000000,1.26,4.9,14.2857
2022-01-01 01:09:59.999999744,1.29,5.0,14.2857
2022-01-01 01:20:00.000000000,1.32,5.0,12.5
2022-01-01 01:30:00.000000000,1.26,4.9,12.5
2022-01-01 01:40:00.000000000,1.23,4.8,5.8824
2022-01-01 01:50:00.000000256,1.29,5.0,12.5
2022-01-01 02:00:00.000000000,1.24,5.1,12.5
2022-01-01 02:10:00.000000000,1.2,4.7,5.8824
2022-01-01 02:20:00.000000000,1.23,4.8,12.5
2022-01-01 02:30:00.000000000,1.22,4.9,12.5
2022-01-01 02:39:59.999999744,1.21,4.8,12.5
2022-01-01 02:50:00.000000000,1.17,5.0,12.5
2022-01-01 03:00:00.000000000,1.21,4.9,12.5
2022-01-01 03:10:00.000000000,1.23,5.1,12.5
2022-01-01 03:20:00.000000256,1.25,5.2,12.5
2022-01-01 03:30:00.000000000,1.32,5.2,12.5
2022-01-01 03:40:00.000000000,1.25,5.0,12.5
2022-01-01 03:50:00.000000000,1.16,4.7,5.5556
2022-01-01 04:00:00.000000000,1.23,4.6,12.5
2022-01-01 04:09:59.999999744,1.25,4.8,5.8824
2022-01-01 04:20:00.000000000,1.26,5.0,5.8824
2022-01-01 04:30:00.000000000,1.26,4.9,12.5
2022-01-01 04:40:00.000000000,1.26,4.9,12.5
2022-01-01 04:50:00.000000256,1.27,4.9,12.5
2022-01-01 05:00:00.000000000,1.21,4.9,5.0
2022-01-01 05:10:00.000000000,1.19,4.9,5.5556
2022-01-01 05:20:00.000000000,1.15,5.0,6.25
2022-01-01 05:30:00.000000000,1.16,5.0,6.25
2022-01-01 05:39:59.999999744,1.16,5.0,5.5556
2022-01-01 05:50:00.000000000,1.14,5.3,5.8824
2022-01-01 06:00:00.000000000,1.19,5.3,12.5
2022-01-01 06:10:00.000000000,1.22,5.1,12.5
2022-01-01 06:20:00.000000256,1.22,5.1,5.8824
2022-01-01 06:30:00.000000000,1.26,5.4,12.5
2022-01-01 06:40:00.000000000,1.35,5.4,6.25
2022-01-01 06:50:00.000000000,1.33,5.3,6.25
2022-01-01 07:00:00.000000000,1.3,5.0,5.8824
2022-01-01 07:09:59.999999744,1.38,5.0,5.5556
2022-01-01 07:20:00.000000000,1.44,5.1,6.25
2022-01-01 07:30:00.000000000,1.49,5.1,6.25
2022-01-01 07:40:00.000000000,1.47,5.1,12.5
2022-01-01 07:50:00.000000256,1.48,5.2,5.8824
2022-01-01 08:00:00.000000000,1.57,5.2,5.8824
2022-01-01 08:10:00.000000000,1.54,5.0,6.25
2022-01-01 08:20:00.000000000,1.49,5.1,12.5
2022-01-01 08:30:00.000000000,1.44,5.1,5.5556
2022-01-01 08:39:59.999999744,1.34,5.2,6.25
2022-01-01 08:50:00.000000000,1.41,5.2,5.8824
2022-01-01 09:00:00.000000000,1.49,5.2,6.25
2022-01-01 09:10:00.000000000,1.52,5.2,5.2632
2022-01-01 09:20:00.000000256,1.68,5.2,5.5556
2022-01-01 09:30:00.000000000,1.79,5.3,5.8824
2022-01-01 09:40:00.000000000,1.72,5.3,5.8824
2022-01-01 09:50:00.000000000,1.71,5.4,5.8824
2022-01-01 10:00:00.000000000,1.88,5.4,5.8824
2022-01-01 10:09:59.999999744,1.91,5.2,5.8824
2022-01-01 10:20:00.000000000,1.85,5.1,5.8824
2022-01-01 10:30:00.000000000,1.85,5.3,6.25
2022-01-01 10:40:00.000000000,1.92,5.2,5.8824
2022-01-01 10:50:00.000000256,1.89,5.3,5.8824
2022-01-01 11:00:00.000000000,1.82,5.4,6.25
2022-01-01 11:10:00.000000000,1.72,5.3,5.8824
2022-01-01 11:20:00.000000000,1.68,5.3,6.25
2022-01-01 11:30:00.000000000,1.81,5.2,6.25
2022-01-01 11:39:59.999999744,1.77,5.1,5.8824
2022-01-01 11:50:00.000000000,1.75,5.1,5.8824
2022-01-01 12:00:00.000000000,1.75,4.9,5.8824
2022-01-01 12:10:00.000000000,1.7,5.0,5.8824
2022-01-01 12:20:00.000000256,1.7,5.1,5.8824
2022-01-01 12:30:00.000000000,1.72,5.1,5.8824
2022-01-01 12:40:00.000000000,1.73,4.9,5.8824
2022-01-01 12:50:00.000000000,1.61,4.7,5.2632
2022-01-01 13:00:00.000000000,1.62,4.7,5.2632
2022-01-01 13:09:59.999999744,1.71,4.7,5.5556
2022-01-01 13:20:00.000000000,1.75,4.6,5.5556
2022-01-01 13:30:00.000000000,1.82,4.7,5.5556
2022-01-01 13:40:00.000000000,1.74,4.8,5.2632
2022-01-01 13:50:00.000000256,1.76,4.8,5.2632
2022-01-01 14:00:00.000000000,1.92,4.9,5.8824
2022-01-01 14:10:00.000000000,1.86,4.9,5.8824
2022-01-01 14:20:00.000000000,1.71,4.8,5.5556
2022-01-01 14:30:00.000000000,1.68,4.6,5.2632
2022-01-01 14:39:59.999999744,1.79,4.8,5.8824
2022-01-01 14:50:00.000000000,1.81,4.8,5.8824
2022-01-01 15:00:00.000000000,1.74,4.8,5.5556
2022-01-01 15:10:00.000000000,1.71,4.8,5.5556
2022-01-01 15:20:00.000000256,1.65,5.0,5.5556
2022-01-01 15:30:00.000000000,1.63,4.8,5.8824
2022-01-01 15:40:00.000000000,1.73,5.0,5.8824
2022-01-01 15:50:00.000000000,1.81,4.9,5.8824
2022-01-01 16:00:00.000000000,1.78,4.7,5.8824
2022-01-01 16:09:59.999999744,1.79,4.9,6.25
2022-01-01 16:20:00.000000000,1.81,5.1,6.25
2022-01-01 16:30:00.000000000,1.7,5.3,6.25
2022-01-01 16:40:00.000000000,1.62,5.1,6.25
2022-01-01 16:50:00.000000256,1.65,4.9,5.8824
2022-01-01 17:00:00.000000000,1.81,5.2,5.8824
2022-01-01 17:10:00.000000000,1.88,5.2,6.25
2022-01-01 17:20:00.000000000,1.92,5.4,5.8824
2022-01-01 17:30:00.000000000,1.91,5.3,5.8824
2022-01-01 17:39:59.999999744,1.81,5.2,6.25
2022-01-01 17:50:00.000000000,1.82,5.2,5.8824
2022-01-01 18:00:00.000000000,1.92,5.4,6.25
2022-01-01 18:10:00.000000000,1.89,5.3,6.25
2022-01-01 18:20:00.000000256,1.86,5.2,6.25
2022-01-01 18:30:00.000000000,1.78,5.1,6.25
2022-01-01 18:40:00.000000000,1.6,5.0,6.25
2022-01-01 18:50:00.000000000,1.61,5.2,6.6667
2022-01-01 19:00:00.000000000,1.63,5.3,6.6667
2022-01-01 19:09:59.999999744,1.6,5.4,6.6667
2022-01-01 19:20:00.000000000,1.66,5.4,6.6667
2022-01-01 19:30:00.000000000,1.78,5.3,6.6667
2022-01-01 19:40:00.000000000,1.7,5.3,6.6667
2022-01-01 19:50:00.000000256,1.67,5.4,6.25
2022-01-01 20:00:00.000000000,1.64,5.2,6.25
2022-01-01 20:10:00.000000000,1.59,5.4,6.25
2022-01-01 20:20:00.000000000,1.72,5.6,6.25
2022-01-01 20:30:00.000000000,1.73,5.6,6.6667
2022-01-01 20:39:59.999999744,1.68,5.1,6.6667
2022-01-01 20:50:00.000000000,1.77,5.3,6.25
2022-01-01 21:00:00.000000000,1.76,5.7,6.25
2022-01-01 21:10:00.000000000,1.66,5.5,6.6667
2022-01-01 21:20:00.000000256,1.59,5.4,6.6667
2022-01-01 21:30:00.000000000,1.44,5.4,6.6667
2022-01-01 21:40:00.000000000,1.3,5.1,6.25
2022-01-01 21:50:00.000000000,1.31,5.1,6.25
2022-01-01 22:00:00.000000000,1.35,4.9,6.25
2022-01-01 22:09:59.999999744,1.34,4.9,6.25
2022-01-01 22:20:00.000000000,1.32,5.3,6.25
2022-01-01 22:30:00.000000000,1.34,5.2,5.8824
2022-01-01 22:40:00.000000000,1.38,5.2,5.8824
2022-01-01 22:50:00.000000256,1.42,5.2,6.25
2022-01-01 23:00:00.000000000,1.37,5.0,6.25
2022-01-01 23:10:00.000000000,1.36,5.1,6.25
2022-01-01 23:20:00.000000000,1.38,5.2,6.25
2022-01-01 23:30:00.000000000,1.31,5.0,6.25
2022-01-01 23:39:59.999999744,1.34,4.8,5.8824
2022-01-01 23:50:00.000000000,1.36,4.9,5.8824
2022-01-02 00:00:00.000000000,1.26,4.7,5.8824
2022-01-02 00:10:00.000000000,1.36,4.8,5.8824
2022-01-02 00:20:00.000000256,1.45,4.9,5.8824
2022-01-02 00:30:00.000000000,1.34,4.8,5.5556
2022-01-02 00:40:00.000000000,1.34,4.9,5.5556
2022-01-02 00:50:00.000000000,1.31,4.8,5.5556
2022-01-02 01:00:00.000000000,1.31,4.6,5.2632
2022-01-02 01:09:59.999999744,1.31,4.5,5.8824
2022-01-02 01:20:00.000000000,1.28,4.5,5.2632
2022-01-02 01:30:00.000000000,1.24,4.6,5.2632
2022-01-02 01:40:00.000000000,1.3,4.6,5.5556
2022-01-02 01:50:00.000000256,1.29,4.5,5.5556
2022-01-02 02:00:00.000000000,1.32,4.7,5.5556
2022-01-02 02:10:00.000000000,1.32,4.4,5.5556
2022-01-02 02:20:00.000000000,1.18,4.4,5.5556
2022-01-02 02:30:00.000000000,1.17,4.5,5.5556
2022-01-02 02:39:59.999999744,1.21,4.5,5.5556
2022-01-02 02:50:00.000000000,1.29,4.7,5.2632
2022-01-02 03:00:00.000000000,1.31,4.7,5.2632
2022-01-02 03:10:00.000000000,1.27,4.6,5.5556
2022-01-02 03:20:00.000000256,1.28,4.7,5.5556
2022-01-02 03:30:00.000000000,1.28,4.7,5.5556
2022-01-02 03:40:00.000000000,1.32,4.6,5.5556
2022-01-02 03:50:00.000000000,1.34,4.8,5.5556
2022-01-02 04:00:00.000000000,1.26,4.6,5.5556
2022-01-02 04:09:59.999999744,1.19,4.6,5.5556
2022-01-02 04:20:00.000000000,1.22,4.6,5.5556
2022-01-02 04:30:00.000000000,1.29,4.9,5.5556
2022-01-02 04:40:00.000000000,1.21,4.6,5.5556
2022-01-02 04:50:00.000000256,1.23,4.7,5.2632
2022-01-02 05:00:00.000000000,1.21,4.6,5.2632
2022-01-02 05:10:00.000000000,1.08,4.5,5.5556
2022-01-02 05:20:00.000000000,1.11,4.6,5.5556
2022-01-02 05:30:00.000000000,1.19,4.7,5.5556
2022-01-02 05:39:59.999999744,1.14,4.8,5.5556
2022-01-02 05:50:00.000000000,1.08,4.7,5.5556
2022-01-02 06:00:00.000000000,1.17,4.7,5.8824
2022-01-02 06:10:00.000000000,1.19,4.7,5.5556
2022-01-02 06:20:00.000000256,1.14,4.7,5.5556
2022-01-02 06:30:00.000000000,1.13,4.7,5.8824
2022-01-02 06:40:00.000000000,1.15,4.7,5.5556
2022-01-02 06:50:00.000000000,1.15,4.8,5.2632
2022-01-02 07:00:00.000000000,1.09,4.6,5.8824
2022-01-02 07:09:59.999999744,1.11,4.6,5.8824
2022-01-02 07:20:00.000000000,1.19,4.6,5.8824
2022-01-02 07:30:00.000000000,1.23,4.8,5.8824
2022-01-02 07:40:00.000000000,1.24,4.9,5.8824
2022-01-02 07:50:00.000000256,1.29,4.9,5.8824
2022-01-02 08:00:00.000000000,1.29,4.9,5.8824
2022-01-02 08:10:00.000000000,1.4,4.9,5.8824
2022-01-02 08:20:00.000000000,1.43,4.9,5.8824
2022-01-02 08:30:00.000000000,1.3,4.9,5.8824
2022-01-02 08:39:59.999999744,1.19,5.0,5.2632
2022-01-02 08:50:00.000000000,1.29,4.8,5.8824
2022-01-02 09:00:00.000000000,1.38,4.9,5.8824
2022-01-02 09:10:00.000000000,1.35,5.0,5.8824
2022-01-02 09:20:00.000000256,1.4,4.9,5.8824
2022-01-02 09:30:00.000000000,1.48,5.0,5.8824
2022-01-02 09:40:00.000000000,1.57,5.1,5.8824
2022-01-02 09:50:00.000000000,1.61,5.2,5.8824
2022-01-02 10:00:00.000000000,1.59,5.2,6.25
2022-01-02 10:09:59.999999744,1.61,5.1,6.25
2022-01-02 10:20:00.000000000,1.55,5.0,6.25
2022-01-02 10:30:00.000000000,1.57,5.0,5.8824
2022-01-02 10:40:00.000000000,1.73,5.2,6.25
2022-01-02 10:50:00.000000256,1.8,5.3,6.25
2022-01-02 11:00:00.000000000,1.74,5.3,6.6667
2022-01-02 11:10:00.000000000,1.88,5.4,6.6667
2022-01-02 11:20:00.000000000,1.92,5.4,6.6667
2022-01-02 11:30:00.000000000,1.86,5.4,6.25
2022-01-02 11:39:59.999999744,1.98,5.4,5.8824
2022-01-02 11:50:00.000000000,2.03,5.4,6.25
2022-01-02 12:00:00.000000000,2.04,5.3,6.25
2022-01-02 12:10:00.000000000,1.88,5.2,6.25
2022-01-02 12:20:00.000000256,1.78,5.2,6.25
2022-01-02 12:30:00.000000000,1.94,5.2,6.6667
2022-01-02 12:40:00.000000000,2.0,5.4,6.25
2022-01-02 12:50:00.000000000,1.86,5.2,6.25
2022-01-02 13:00:00.000000000,1.91,5.2,6.6667
2022-01-02 13:09:59.999999744,2.02,5.3,6.6667
2022-01-02 13:20:00.000000000,1.97,5.1,6.25
2022-01-02 13:30:00.000000000,1.89,5.0,6.25
2022-01-02 13:40:00.000000000,1.91,5.1,6.25
2022-01-02 13:50:00.000000256,1.9,5.1,6.25
2022-01-02 14:00:00.000000000,1.87,5.1,6.25
2022-01-02 14:10:00.000000000,1.78,5.1,6.25
2022-01-02 14:20:00.000000000,1.74,4.9,6.25
2022-01-02 14:30:00.000000000,1.69,4.9,6.25
2022-01-02 14:39:59.999999744,1.6,5.1,6.25
2022-01-02 14:50:00.000000000,1.62,5.0,6.25
2022-01-02 15:00:00.000000000,1.63,4.8,6.25
2022-01-02 15:10:00.000000000,1.6,4.8,5.5556
2022-01-02 15:20:00.000000256,1.61,4.9,6.6667
2022-01-02 15:30:00.000000000,1.69,4.8,6.25
2022-01-02 15:40:00.000000000,1.63,4.5,6.25
2022-01-02 15:50:00.000000000,1.53,4.6,6.25
2022-01-02 16:00:00.000000000,1.64,4.9,6.25
2022-01-02 16:09:59.999999744,1.76,4.9,6.6667
2022-01-02 16:20:00.000000000,1.72,5.0,6.6667
2022-01-02 16:30:00.000000000,1.64,4.9,6.25
2022-01-02 16:40:00.000000000,1.63,4.8,5.8824
2022-01-02 16:50:00.000000256,1.66,4.9,5.8824
2022-01-02 17:00:00.000000000,1.76,5.0,6.6667
2022-01-02 17:10:00.000000000,1.79,5.0,6.6667
2022-01-02 17:20:00.000000000,1.67,5.1,6.6667
2022-01-02 17:30:00.000000000,1.51,5.0,6.6667
2022-01-02 17:39:59.999999744,1.54,5.0,6.6667
2022-01-02 17:50:00.000000000,1.61,5.0,6.6667
2022-01-02 18:00:00.000000000,1.52,4.7,6.6667
2022-01-02 18:10:00.000000000,1.5,4.8,5.5556
2022-01-02 18:20:00.000000256,1.64,5.2,6.6667
2022-01-02 18:30:00.000000000,1.67,5.2,6.6667
2022-01-02 18:40:00.000000000,1.56,5.1,6.25
2022-01-02 18:50:00.000000000,1.52,5.1,6.25
2022-01-02 19:00:00.000000000,1.51,5.0,7.1429
2022-01-02 19:09:59.999999744,1.46,5.0,6.6667
2022-01-02 19:20:00.000000000,1.51,5.0,5.2632
2022-01-02 19:30:00.000000000,1.59,5.1,7.1429
2022-01-02 19:40:00.000000000,1.55,5.2,7.1429
2022-01-02 19:50:00.000000256,1.55,5.2,6.6667
2022-01-02 20:00:00.000000000,1.6,5.2,6.25
2022-01-02 20:10:00.000000000,1.64,5.1,6.25
2022-01-02 20:20:00.000000000,1.63,5.3,7.1429
2022-01-02 20:30:00.000000000,1.59,5.4,7.1429
2022-01-02 20:39:59.999999744,1.55,5.2,6.6667
2022-01-02 20:50:00.000000000,1.51,5.3,6.25
2022-01-02 21:00:00.000000000,1.51,5.4,6.25
2022-01-02 21:10:00.000000000,1.46,5.2,6.6667
2022-01-02 21:20:00.000000256,1.42,5.1,5.8824
2022-01-02 21:30:00.000000000,1.46,5.1,6.6667
2022-01-02 21:40:00.000000000,1.48,5.1,6.6667
2022-01-02 21:50:00.000000000,1.35,4.9,6.6667
2022-01-02 22:00:00.000000000,1.22,4.9,6.25
2022-01-02 22:09:59.999999744,1.24,4.8,6.25
2022-01-02 22:20:00.000000000,1.31,4.9,6.25
2022-01-02 22:30:00.000000000,1.33,4.8,5.8824
2022-01-02 22:40:00.000000000,1.36,4.9,6.25
2022-01-02 22:50:00.000000256,1.35,4.9,6.25
2022-01-02 23:00:00.000000000,1.32,4.9,5.5556
2022-01-02 23:10:00.000000000,1.42,4.9,5.2632
2022-01-02 23:20:00.000000000,1.59,4.9,5.0
2022-01-02 23:30:00.000000000,1.69,4.9,5.5556
2022-01-02 23:39:59.999999744,1.73,5.2,5.8824
2022-01-02 23:50:00.000000000,1.91,5.4,5.8824
2022-01-03 00:00:00.000000000,1.86,5.2,6.25
2022-01-03 00:10:00.000000000,1.86,5.2,6.25
2022-01-03 00:20:00.000000256,1.99,5.2,6.25
2022-01-03 00:30:00.000000000,2.04,5.3,6.6667
2022-01-03 00:40:00.000000000,2.05,5.4,6.25
2022-01-03 00:50:00.000000000,2.05,5.4,6.25
2022-01-03 01:00:00.000000000,2.22,5.3,6.6667
2022-01-03 01:09:59.999999744,2.2,5.2,6.25
2022-01-03 01:20:00.000000000,2.26,5.4,6.25
2022-01-03 01:30:00.000000000,2.28,5.3,6.6667
2022-01-03 01:40:00.000000000,2.16,5.1,6.6667
2022-01-03 01:50:00.000000256,2.16,5.2,6.6667
2022-01-03 02:00:00.000000000,2.22,5.4,6.25
2022-01-03 02:10:00.000000000,2.25,5.3,6.6667
2022-01-03 02:20:00.000000000,2.42,5.3,6.6667
2022-01-03 02:30:00.000000000,2.59,5.4,6.6667
2022-01-03 02:39:59.999999744,2.45,5.3,6.6667
2022-01-03 02:50:00.000000000,2.37,5.4,6.6667
2022-01-03 03:00:00.000000000,2.45,5.7,6.6667
2022-01-03 03:10:00.000000000,2.58,5.7,6.6667
2022-01-03 03:20:00.000000256,2.54,5.6,6.6667
2022-01-03 03:30:00.000000000,2.29,5.4,6.6667
2022-01-03 03:40:00.000000000,2.43,5.6,6.6667
2022-01-03 03:50:00.000000000,2.47,5.5,6.6667
2022-01-03 04:00:00.000000000,2.45,5.5,6.6667
2022-01-03 04:09:59.999999744,2.68,5.7,6.6667
2022-01-03 04:20:00.000000000,2.75,5.8,6.6667
2022-01-03 04:30:00.000000000,2.69,5.8,6.6667
2022-01-03 04:40:00.000000000,2.68,5.7,6.6667
2022-01-03 04:50:00.000000256,2.73,5.6,6.6667
2022-01-03 05:00:00.000000000,2.57,5.5,6.6667
2022-01-03 05:10:00.000000000,2.65,5.5,7.1429
2022-01-03 05:20:00.000000000,2.92,5.9,7.1429
2022-01-03 05:30:00.000000000,3.0,5.9,6.6667
2022-01-03 05:39:59.999999744,3.05,5.8,7.1429
2022-01-03 05:50:00.000000000,2.94,5.9,7.1429
2022-01-03 06:00:00.000000000,2.7,5.9,7.1429
2022-01-03 06:10:00.000000000,2.6,5.6,6.6667
2022-01-03 06:20:00.000000256,2.54,5.5,7.1429
2022-01-03 06:30:00.000000000,2.55,5.6,7.1429
2022-01-03 06:40:00.000000000,2.68,5.7,7.1429
2022-01-03 06:50:00.000000000,2.7,5.7,7.1429
2022-01-03 07:00:00.000000000,2.66,5.8,7.6923
2022-01-03 07:09:59.999999744,2.75,5.9,7.1429
2022-01-03 07:20:00.000000000,2.81,5.9,7.1429
2022-01-03 07:30:00.000000000,2.83,6.1,7.6923
2022-01-03 07:40:00.000000000,2.75,6.1,7.6923
2022-01-03 07:50:00.000000256,2.7,5.9,7.1429
2022-01-03 08:00:00.000000000,2.85,6.0,7.1429
2022-01-03 08:10:00.000000000,2.73,5.9,7.1429
2022-01-03 08:20:00.000000000,2.45,5.8,7.6923
2022-01-03 08:30:00.000000000,2.36,5.7,7.6923
2022-01-03 08:39:59.999999744,2.55,5.9,8.3333
2022-01-03 08:50:00.000000000,2.83,6.0,6.6667
2022-01-03 09:00:00.000000000,2.62,5.8,6.6667
2022-01-03 09:10:00.000000000,2.45,6.0,7.1429
2022-01-03 09:20:00.000000256,2.67,6.2,7.6923
2022-01-03 09:30:00.000000000,2.48,5.9,7.6923
2022-01-03 09:40:00.000000000,2.41,6.0,7.1429
2022-01-03 09:50:00.000000000,2.58,6.0,7.1429
2022-01-03 10:00:00.000000000,2.44,5.8,7.1429
2022-01-03 10:09:59.999999744,2.4,5.9,7.6923
2022-01-03 10:20:00.000000000,2.75,6.2,7.6923
2022-01-03 10:30:00.000000000,2.75,5.9,7.6923
2022-01-03 10:40:00.000000000,2.47,5.9,7.6923
2022-01-03 10:50:00.000000256,2.46,6.0,6.6667
2022-01-03 11:00:00.000000000,2.29,6.1,6.6667
2022-01-03 11:10:00.000000000,2.21,5.8,7.1429
2022-01-03 11:20:00.000000000,2.13,5.7,7.1429
2022-01-03 11:30:00.000000000,1.91,5.7,6.6667
2022-01-03 11:39:59.999999744,2.08,6.0,7.1429
2022-01-03 11:50:00.000000000,2.36,6.0,7.6923
2022-01-03 12:00:00.000000000,2.32,5.8,7.6923
2022-01-03 12:10:00.000000000,2.34,5.7,6.25
2022-01-03 12:20:00.000000256,2.49,5.9,6.25
2022-01-03 12:30:00.000000000,2.38,6.0,7.1429
2022-01-03 12:40:00.000000000,2.41,5.8,6.6667
2022-01-03 12:50:00.000000000,2.64,5.8,6.6667
2022-01-03 13:00:00.000000000,2.71,5.9,6.6667
2022-01-03 13:09:59.999999744,2.65,5.8,7.1429
2022-01-03 13:20:00.000000000,2.67,6.0,7.1429
2022-01-03 13:30:00.000000000,2.74,6.0,6.6667
2022-01-03 13:40:00.000000000,2.66,5.6,6.6667
2022-01-03 13:50:00.000000256,2.46,5.7,7.1429
2022-01-03 14:00:00.000000000,2.5,5.7,6.6667
2022-01-03 14:10:00.000000000,2.6,5.7,7.1429
2022-01-03 14:20:00.000000000,2.55,5.7,7.1429
2022-01-03 14:30:00.000000000,2.47,5.6,7.1429
